City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Dortmund,2024-06-22,18:00,588462,Turkey 0 - 3 Portugal,Group F,[ 84. 105. 108. 157. 181. 251. 102.  89. 143.  59.  33.  13.  13.],Turkey 0 - 3 Portugal,"[0.06278026905829596, 0.07847533632286996, 0.08071748878923767, 0.11733931240657698, 0.1352765321375187, 0.187593423019432, 0.07623318385650224, 0.06651718983557549, 0.10687593423019431, 0.044095665171898356, 0.02466367713004484, 0.009715994020926755, 0.009715994020926755]"
Gelsenkirchen,2024-06-26,21:00,260000,Georgia 2 - 0 Portugal,Group F,[ 95. 107.  87. 109.  78. 100.  44.  41.  41.  10.   7.   6.   2.],Georgia 2 - 0 Portugal,"[0.13067400275103164, 0.14718019257221457, 0.11966987620357634, 0.1499312242090784, 0.10729023383768914, 0.1375515818431912, 0.06052269601100413, 0.05639614855570839, 0.05639614855570839, 0.013755158184319119, 0.009628610729023384, 0.008253094910591471, 0.002751031636863824]"
Hamburg,2024-06-26,21:00,1841179,Czechia 1 - 2 Turkey,Group F,[351. 330. 329. 190. 108. 108.  52.  42.  33.   9.   7.   8.   7.],Czechia 1 - 2 Turkey,"[0.22299872935196952, 0.2096569250317662, 0.20902160101651843, 0.1207115628970775, 0.06861499364675985, 0.06861499364675985, 0.03303684879288437, 0.026683608640406607, 0.02096569250317662, 0.005717916137229987, 0.0044472681067344345, 0.005082592121982211, 0.0044472681067344345]"
Dortmund,2024-06-29,21:00,588462,Germany 2 - 0 Denmark,,[111. 124. 132. 200. 496. 363. 207. 172. 126.  55.  10.   2.   3.],Germany 2 - 0 Denmark,"[0.05547226386806597, 0.06196901549225387, 0.06596701649175413, 0.09995002498750624, 0.2478760619690155, 0.18140929535232383, 0.10344827586206896, 0.08595702148925537, 0.06296851574212893, 0.027486256871564217, 0.004997501249375313, 0.0009995002498750624, 0.0014992503748125937]"
Berlin,2024-06-29,18:00,3644826,Switzerland 2 - 0 Italy,,[377. 415. 281. 279. 368. 384. 295. 303. 297. 168. 103. 132. 122.],Switzerland 2 - 0 Italy,"[0.10698070374574348, 0.1177639046538025, 0.079738933030647, 0.07917139614074915, 0.10442678774120318, 0.10896708286038592, 0.0837116912599319, 0.08598183881952327, 0.08427922814982974, 0.04767309875141884, 0.029228149829738932, 0.03745743473325766, 0.034619750283768444]"
Gelsenkirchen,2024-06-30,18:00,260000,England 2 - 1 Slovakia ,,[ 42.  42.  54.  72. 138. 145.  97.  62.  99.  38.  16.  10.   2.],England 2 - 1 Slovakia ,"[0.051407588739290085, 0.051407588739290085, 0.06609547123623011, 0.08812729498164015, 0.1689106487148103, 0.17747858017135862, 0.11872705018359853, 0.07588739290085679, 0.1211750305997552, 0.046511627906976744, 0.019583843329253364, 0.012239902080783354, 0.0024479804161566705]"
Köln,2024-06-30,21:00,1085664,Spain 4 - 1 Georgia,,[ 99.  88. 134. 126. 112. 132.  36.  29.  31.   9.   3.  10.   3.],Spain 4 - 1 Georgia,"[0.12192118226600986, 0.10837438423645321, 0.16502463054187191, 0.15517241379310345, 0.13793103448275862, 0.1625615763546798, 0.04433497536945813, 0.03571428571428571, 0.038177339901477834, 0.011083743842364532, 0.003694581280788177, 0.012315270935960592, 0.003694581280788177]"
Düsseldorf,2024-07-01,18:00,617280,France 1 - 0 Belgium,,[112. 120. 104. 186. 233. 180. 124.  67.  29.  35.  17.   4.   5.],France 1 - 0 Belgium,"[0.09210526315789473, 0.09868421052631579, 0.08552631578947369, 0.15296052631578946, 0.19161184210526316, 0.14802631578947367, 0.10197368421052631, 0.055098684210526314, 0.023848684210526317, 0.028782894736842105, 0.013980263157894737, 0.003289473684210526, 0.004111842105263158]"
Frankfurt am Main,2024-07-01,21:00,736414,Portugal 0 - 0 Slovenia,,[64. 81. 91. 62. 62. 50. 25. 20. 32. 13. 13.  1.  1.],Portugal 0 - 0 Slovenia,"[0.12427184466019417, 0.15728155339805824, 0.1766990291262136, 0.1203883495145631, 0.1203883495145631, 0.0970873786407767, 0.04854368932038835, 0.038834951456310676, 0.062135922330097085, 0.02524271844660194, 0.02524271844660194, 0.001941747572815534, 0.001941747572815534]"
München,2024-07-02,18:00,1471508,Romania 0 - 3 Netherlands,,[60. 35. 54. 67. 64. 78. 52. 46. 42. 17.  9.  4.  1.],Romania 0 - 3 Netherlands,"[0.11342155009451796, 0.0661625708884688, 0.10207939508506617, 0.1266540642722117, 0.12098298676748583, 0.14744801512287334, 0.09829867674858223, 0.08695652173913043, 0.07939508506616257, 0.03213610586011342, 0.017013232514177693, 0.007561436672967864, 0.001890359168241966]"
Leipzig,2024-07-02,21:00,597493,Austria 1 - 2 Turkey,,[231. 282. 250. 188. 148. 228. 155.  92.  49.   9.   3.   4.   1.],Austria 1 - 2 Turkey,"[0.14085365853658535, 0.1719512195121951, 0.1524390243902439, 0.11463414634146342, 0.09024390243902439, 0.13902439024390245, 0.09451219512195122, 0.05609756097560976, 0.029878048780487804, 0.00548780487804878, 0.001829268292682927, 0.0024390243902439024, 0.0006097560975609756]"
Stuttgart,2024-07-05,18:00,634830,Spain 2 - 1 Germany,,[ 58.  59.  47.  99. 221. 272.  80.  63.  90.  55.  19.  26.   8.],Spain 2 - 1 Germany,"[0.0528714676390155, 0.053783044667274384, 0.04284412032816773, 0.0902461257976299, 0.2014585232452142, 0.2479489516864175, 0.07292616226071102, 0.05742935278030994, 0.0820419325432999, 0.05013673655423884, 0.01731996353691887, 0.023701002734731084, 0.007292616226071103]"
Hamburg,2024-07-05,21:00,1841179,Portugal 0 - 0 France ,,[345. 274. 272. 144.  94. 109.  87. 109.  79.  40.  25.   5.   3.],Portugal 0 - 0 France ,"[0.21752837326607818, 0.17276166456494324, 0.17150063051702397, 0.09079445145018916, 0.05926860025220681, 0.06872635561160151, 0.05485498108448928, 0.06872635561160151, 0.04981084489281211, 0.025220680958385876, 0.015762925598991173, 0.0031525851197982345, 0.0018915510718789407]"
Berlin,2024-07-06,18:00,3644826,Netherlands 2 - 1 Turkey,,[314. 343. 386. 243. 394. 418. 297. 304. 220. 197. 126. 133. 103.],Netherlands 2 - 1 Turkey,"[0.09028177113283496, 0.09861989649223692, 0.1109833237492812, 0.06986774008050604, 0.11328349626221966, 0.12018401380103508, 0.08539390454284071, 0.08740655549166187, 0.06325474410580793, 0.05664174813110983, 0.03622771707878091, 0.03824036802760207, 0.029614721104082805]"
Düsseldorf,2024-07-06,21:00,617280,England 1 - 1 Switzerland,,[93. 76. 58. 49. 40. 43. 38. 12. 23. 16.  4.  3.  1.],England 1 - 1 Switzerland,"[0.20394736842105263, 0.16666666666666666, 0.12719298245614036, 0.1074561403508772, 0.08771929824561403, 0.09429824561403509, 0.08333333333333333, 0.02631578947368421, 0.05043859649122807, 0.03508771929824561, 0.008771929824561403, 0.006578947368421052, 0.0021929824561403508]"
München,2024-07-09,21:00,1471508,Spain 2 - 1 France,,[63. 61. 60. 49. 31. 26. 13. 14.  9.  5.  1.  1.  1.],Spain 2 - 1 France,"[0.18862275449101795, 0.18263473053892215, 0.17964071856287425, 0.1467065868263473, 0.09281437125748503, 0.07784431137724551, 0.038922155688622756, 0.041916167664670656, 0.02694610778443114, 0.014970059880239521, 0.0029940119760479044, 0.0029940119760479044, 0.0029940119760479044]"
Dortmund,2024-07-10,21:00,588462,Netherlands 1 - 2 England,,[163. 142. 133.  71.  44.  68.  34.  28.  52.  20.   6.   2.   4.],Netherlands 1 - 2 England,"[0.21251629726205998, 0.18513689700130379, 0.17340286831812254, 0.09256844850065189, 0.05736636245110821, 0.08865710560625815, 0.04432855280312908, 0.03650586701434159, 0.06779661016949153, 0.02607561929595828, 0.007822685788787484, 0.002607561929595828, 0.005215123859191656]"
Berlin,2024-07-14,21:00,3644826,Spain 2 - 1 England,,[313. 255. 309. 385. 318. 163.  94.  48.  91.  57.  28.  21.  10.],Spain 2 - 1 England,"[0.14961759082217974, 0.12189292543021032, 0.1477055449330784, 0.18403441682600383, 0.15200764818355642, 0.07791586998087954, 0.044933078393881457, 0.022944550669216062, 0.04349904397705545, 0.027246653919694074, 0.01338432122370937, 0.010038240917782026, 0.004780114722753346]"
