day,ncontacts_1,ncontacts_2
2024-04-29,30592,0
2024-04-30,36514,14
2024-05-01,25256,24
2024-05-02,29800,0
2024-05-03,32630,44
2024-05-04,32858,152
2024-05-05,24964,94
2024-05-06,29352,2
2024-05-07,30218,0
2024-05-08,37620,0
2024-05-09,26056,38
2024-05-10,31318,42
2024-05-11,31130,234
2024-05-12,29060,80
2024-05-13,28504,2
2024-05-14,28348,6
2024-05-15,31686,0
2024-05-16,35024,0
2024-05-17,38062,64
2024-05-18,35218,268
2024-05-19,27790,154
2024-05-20,25222,0
2024-05-21,29458,54
2024-05-22,28346,0
2024-05-23,29298,18
2024-05-24,32650,32
2024-05-25,29960,84
2024-05-26,23176,104
2024-05-27,27410,32
2024-05-28,27000,0
2024-05-29,30974,0
2024-05-30,28044,0
2024-05-31,35090,6
2024-06-01,31806,88
2024-06-02,26844,14
2024-06-03,27624,8
2024-06-04,26790,2
2024-06-05,28374,0
2024-06-06,30246,76
2024-06-07,32998,8
2024-06-08,30584,6
2024-06-09,23960,34
2024-06-10,27078,0
2024-06-11,27308,2
2024-06-12,27520,48
2024-06-13,29278,12
2024-06-14,32854,10
2024-06-15,29274,38
2024-06-16,24524,18
2024-06-17,26668,16
2024-06-18,26566,20
2024-06-19,27000,24
2024-06-20,29452,8
2024-06-21,32758,82
2024-06-22,29336,268
2024-06-23,23644,24
2024-06-24,26192,8
2024-06-25,26056,22
2024-06-26,26772,40
2024-06-27,28396,0
2024-06-28,33974,0
2024-06-29,31148,82
2024-06-30,23540,40
2024-07-01,28352,42
2024-07-02,27434,82
2024-07-03,27524,0
2024-07-04,30508,0
2024-07-05,32914,72
2024-07-06,30066,50
2024-07-07,25092,0
2024-07-08,27018,2
2024-07-09,26028,2
2024-07-10,26830,10
2024-07-11,29448,60
2024-07-12,33444,146
2024-07-13,33022,150
2024-07-14,24738,10
2024-07-15,26618,0
2024-07-16,26136,28
2024-07-17,27310,70
2024-07-18,28278,54
2024-07-19,31072,194
2024-07-20,30064,130
2024-07-21,23984,48
2024-07-22,26002,0
2024-07-23,25102,18
2024-07-24,25094,16
2024-07-25,27084,4
2024-07-26,29696,112
2024-07-27,29524,142
2024-07-28,23748,10
2024-07-29,24506,136
2024-07-30,24000,84
2024-07-31,27396,174
2024-08-01,27564,0
2024-08-02,32252,18
2024-08-03,32036,122
2024-08-04,25982,22
