day,contacts_germ,contacts_stad,contact_to_baseline_germ,contact_to_baseline_all
2024-06-20,29452,8,1.0094301746002214,1.009704364515908
2024-06-21,32758,82,0.9932858578507814,0.9957722562982985
2024-06-22,29336,268,0.9419254815079835,0.9505304729534477
2024-06-23,23644,24,0.942941950627553,0.9438990901477299
2024-06-24,26192,8,0.9620872230005929,0.9623810798188582
2024-06-25,26056,22,0.9426966234061578,0.943492575421622
2024-06-26,26772,40,0.9424342849671362,0.9438423744411645
2024-06-27,28396,0,0.97323710572959,0.97323710572959
2024-06-28,33974,0,1.0301573275115223,1.0301573275115223
2024-06-29,31148,82,1.0001054982959732,1.002738368812869
2024-06-30,23540,40,0.9387943460401201,0.9403895785737482
2024-07-01,28352,42,1.041428563932224,1.0429713122281168
2024-07-02,27434,82,0.9925521632838706,0.9955188935233281
2024-07-03,27524,0,0.9689063670788681,0.9689063670788681
2024-07-04,30508,0,1.0456232434708528,1.0456232434708528
2024-07-05,32914,72,0.9980160792875212,1.0001992584121704
2024-07-06,30066,50,0.965364450743763,0.9669698595955287
2024-07-07,25092,0,1.0006893683448892,1.0006893683448892
2024-07-08,27018,2,0.9924279394864851,0.9925014036910514
2024-07-09,26028,2,0.9416835935682943,0.9417559528424274
2024-07-10,26830,10,0.9444760147044773,0.9448280370729844
2024-07-11,29448,60,1.009293079642378,1.0113495040100275
2024-07-12,33444,146,1.0140867033995218,1.0185137055133937
2024-07-13,33022,150,1.0602762220601523,1.0650924486154496
2024-07-14,24738,10,0.9865715604222808,0.9869703685556879
2024-07-15,26618,0,0.9777350985732202,0.9777350985732202
2024-07-16,26136,28,0.9455909943714822,0.9466040242093458
2024-07-17,27310,70,0.9613730883928168,0.9638372449723662
2024-07-18,28278,54,0.9691928044732127,0.9710435864040973
2024-07-19,31072,194,0.9421630800152476,0.9480455348788855
2024-07-20,30064,130,0.9653002343896924,0.9694742974042833
2024-07-21,23984,48,0.9565014271633917,0.9584157062037454
2024-07-22,26002,0,0.955108123566792,0.955108123566792
2024-07-23,25102,18,0.9081812496446643,0.9088324831118623
2024-07-24,25094,16,0.8833649315316493,0.8839281673212607
2024-07-25,27084,4,0.9282699595569874,0.9284070545148307
2024-07-26,29696,112,0.9004401011886197,0.9038361576047406
2024-07-27,29524,142,0.9479618187906226,0.9525211799296373
2024-07-28,23748,10,0.9470895552149861,0.947488363348393
2024-07-29,24506,136,0.9001568985511809,0.905152464461691
2024-07-30,24000,84,0.8683112895973207,0.8713503791109113
2024-07-31,27396,174,0.9644004807619776,0.9705256699740007
2024-08-01,27564,0,0.9447213544981835,0.9447213544981835
2024-08-02,32252,18,0.9779429601136639,0.9784887548948262
2024-08-03,32036,122,1.0286175595033324,1.0325347571016408
2024-08-04,25982,22,1.0361832922181138,1.0370606701116092
