day,contacts_germ,contacts_stad,contact_to_baseline_germ,contact_to_baseline_all
2024-04-29,30592,0,1.1237084730465081,1.1237084730465081
2024-04-30,36514,14,1.3210632678481904,1.321569782767122
2024-05-01,25256,24,0.8890676939014639,0.8899125475858809
2024-05-02,29800,0,1.0213574359325885,1.0213574359325885
2024-05-03,32630,44,0.9894046505180718,0.9907388155386908
2024-05-04,32858,152,1.0550104810263607,1.0598909239357286
2024-05-05,24964,94,0.9955846242372794,0.9993334206913054
2024-05-06,29352,2,1.0781606662153864,1.0782341304199528
2024-05-07,30218,0,1.09327627287716,1.09327627287716
2024-05-08,37620,0,1.3243081503236092,1.3243081503236092
2024-05-09,26056,38,0.8930365553912593,0.8943389574907706
2024-05-10,31318,42,0.9496222753577988,0.9508957965138441
2024-05-11,31130,234,0.9995275511093376,1.007040864535601
2024-05-12,29060,80,1.1589364356807939,1.1621269007480501
2024-05-13,28504,2,1.0470118434792646,1.047085307683831
2024-05-14,28348,6,1.025620351562702,1.0258374293851014
2024-05-15,31686,0,1.115418076851512,1.115418076851512
2024-05-16,35024,0,1.200403450875939,1.200403450875939
2024-05-17,38062,64,1.154113386699934,1.156053990366289
2024-05-18,35218,268,1.1307857788297029,1.139390770275167
2024-05-19,27790,154,1.1082878027381027,1.1144294479925707
2024-05-20,25222,0,0.9264570837859253,0.9264570837859253
2024-05-21,29458,54,1.065779748706578,1.067733449108172
2024-05-22,28346,0,0.9978426057701495,0.9978426057701495
2024-05-23,29298,18,1.0041520187232542,1.0047689460335492
2024-05-24,32650,32,0.9900110891638078,0.9909813909969851
2024-05-25,29960,84,0.9619609839780197,0.964658070848986
2024-05-26,23176,104,0.9242777299841046,0.9284253345715376
2024-05-27,27410,32,1.0068269235814848,1.0080023508545461
2024-05-28,27000,0,0.9768502007969858,0.9768502007969858
2024-05-29,30974,0,1.0903540842138084,1.0903540842138084
2024-05-30,28044,0,0.9611727494393796,0.9611727494393796
2024-05-31,35090,6,1.0639966039435838,1.0641785355373046
2024-06-01,31806,88,1.02123267878521,1.0240581983643178
2024-06-02,26844,14,1.0705605533177989,1.0711188847045685
2024-06-03,27624,8,1.0146875934700816,1.014981450288347
2024-06-04,26790,2,0.9692524770130092,0.9693248362871423
2024-06-05,28374,0,0.9988282684019694,0.9988282684019694
2024-06-06,30246,76,1.0366435237321165,1.0392483279311393
2024-06-07,32998,8,1.0005631215996118,1.0008056970579062
2024-06-08,30584,6,0.9819964864480558,0.9821891355102678
2024-06-09,23960,34,0.9555442876432149,0.9569002352967987
2024-06-10,27078,0,0.9946318656234749,0.9946318656234749
2024-06-11,27308,2,0.9879935290134847,0.9880658882876179
2024-06-12,27520,48,0.9687655581314653,0.9704552655002993
2024-06-13,29278,12,1.0034665439340378,1.0038778288075676
2024-06-14,32854,10,0.9961967633503136,0.9964999826731815
2024-06-15,29274,38,0.939934774531794,0.9411548852591359
2024-06-16,24524,18,0.9780370663673706,0.9787549210075033
2024-06-17,26668,16,0.9795717036873782,0.9801594173239089
2024-06-18,26566,20,0.9611482383101009,0.961871831051432
2024-06-19,27000,24,0.9504603949690975,0.9513052486535145
