day,ncontacts_1,ncontacts_2
2024-04-29,116632,4
2024-04-30,140136,130
2024-05-01,79570,164
2024-05-02,113610,2
2024-05-03,122954,266
2024-05-04,113750,1342
2024-05-05,79374,430
2024-05-06,110690,6
2024-05-07,111864,4
2024-05-08,147104,6
2024-05-09,83916,374
2024-05-10,117414,266
2024-05-11,111580,1774
2024-05-12,106618,530
2024-05-13,108660,4
2024-05-14,110024,18
2024-05-15,115922,6
2024-05-16,129626,2
2024-05-17,152958,490
2024-05-18,122374,2026
2024-05-19,81066,1088
2024-05-20,84734,18
2024-05-21,114566,678
2024-05-22,106706,4
2024-05-23,112218,72
2024-05-24,127350,244
2024-05-25,106090,610
2024-05-26,77496,718
2024-05-27,103248,154
2024-05-28,103856,2
2024-05-29,119414,8
2024-05-30,102382,0
2024-05-31,134196,78
2024-06-01,114706,602
2024-06-02,91406,160
2024-06-03,104666,70
2024-06-04,102430,10
2024-06-05,106338,2
2024-06-06,115298,422
2024-06-07,127770,60
2024-06-08,108316,26
2024-06-09,81170,152
2024-06-10,104376,0
2024-06-11,104684,2
2024-06-12,105714,338
2024-06-13,113622,82
2024-06-14,127928,60
2024-06-15,105046,236
2024-06-16,82580,132
2024-06-17,102550,104
2024-06-18,100852,168
2024-06-19,102358,110
2024-06-20,113720,60
2024-06-21,127564,634
2024-06-22,106392,1760
2024-06-23,81390,152
2024-06-24,101168,56
2024-06-25,99170,116
2024-06-26,101054,176
2024-06-27,109632,0
2024-06-28,132476,0
2024-06-29,111828,458
2024-06-30,78046,198
2024-07-01,109942,100
2024-07-02,104968,186
2024-07-03,104158,0
2024-07-04,116374,10
2024-07-05,126872,680
2024-07-06,107926,250
2024-07-07,88624,28
2024-07-08,103114,2
2024-07-09,99412,14
2024-07-10,100594,34
2024-07-11,112556,332
2024-07-12,129352,966
2024-07-13,119108,986
2024-07-14,87880,124
2024-07-15,103092,0
2024-07-16,100730,262
2024-07-17,106750,400
2024-07-18,108888,412
2024-07-19,123600,1220
2024-07-20,108650,756
2024-07-21,83390,244
2024-07-22,100906,2
2024-07-23,94940,122
2024-07-24,96198,68
2024-07-25,105342,28
2024-07-26,118220,858
2024-07-27,109814,1220
2024-07-28,84974,82
2024-07-29,97222,842
2024-07-30,93036,664
2024-07-31,102906,1060
2024-08-01,108192,2
2024-08-02,126412,174
2024-08-03,116758,834
2024-08-04,91168,106
