venue_type,day,hour,pair
shopping,2024-05-05,22,2.0
shopping,2024-05-05,23,4.0
shopping,2024-05-06,0,2.0
shopping,2024-05-06,1,
shopping,2024-05-06,2,
shopping,2024-05-06,3,
shopping,2024-05-06,4,2.0
shopping,2024-05-06,5,5.0
shopping,2024-05-06,6,9.0
shopping,2024-05-06,7,23.0
shopping,2024-05-06,8,44.0
shopping,2024-05-06,9,88.0
shopping,2024-05-06,10,110.0
shopping,2024-05-06,11,113.0
shopping,2024-05-06,12,89.0
shopping,2024-05-06,13,98.0
shopping,2024-05-06,14,79.0
shopping,2024-05-06,15,86.0
shopping,2024-05-06,16,134.0
shopping,2024-05-06,17,105.0
shopping,2024-05-06,18,69.0
shopping,2024-05-06,19,33.0
shopping,2024-05-06,20,18.0
shopping,2024-05-06,21,12.0
shopping,2024-05-06,22,7.0
shopping,2024-05-06,23,2.0
shopping,2024-05-07,0,3.0
shopping,2024-05-07,1,2.0
shopping,2024-05-07,2,2.0
shopping,2024-05-07,3,2.0
shopping,2024-05-07,4,3.0
shopping,2024-05-07,5,4.0
shopping,2024-05-07,6,8.0
shopping,2024-05-07,7,24.0
shopping,2024-05-07,8,48.0
shopping,2024-05-07,9,81.0
shopping,2024-05-07,10,126.0
shopping,2024-05-07,11,106.0
shopping,2024-05-07,12,115.0
shopping,2024-05-07,13,77.0
shopping,2024-05-07,14,105.0
shopping,2024-05-07,15,91.0
shopping,2024-05-07,16,106.0
shopping,2024-05-07,17,109.0
shopping,2024-05-07,18,58.0
shopping,2024-05-07,19,43.0
shopping,2024-05-07,20,15.0
shopping,2024-05-07,21,11.0
shopping,2024-05-07,22,6.0
shopping,2024-05-07,23,6.0
shopping,2024-05-08,0,2.0
shopping,2024-05-08,1,2.0
shopping,2024-05-08,2,2.0
shopping,2024-05-08,3,2.0
shopping,2024-05-08,4,1.0
shopping,2024-05-08,5,3.0
shopping,2024-05-08,6,7.0
shopping,2024-05-08,7,22.0
shopping,2024-05-08,8,50.0
shopping,2024-05-08,9,95.0
shopping,2024-05-08,10,121.0
shopping,2024-05-08,11,118.0
shopping,2024-05-08,12,130.0
shopping,2024-05-08,13,104.0
shopping,2024-05-08,14,94.0
shopping,2024-05-08,15,126.0
shopping,2024-05-08,16,138.0
