venue_type,day,hour,pair
shopping,2024-07-29,8,39.0
shopping,2024-07-29,9,44.0
shopping,2024-07-29,10,85.0
shopping,2024-07-29,11,88.0
shopping,2024-07-29,12,95.0
shopping,2024-07-29,13,74.0
shopping,2024-07-29,14,73.0
shopping,2024-07-29,15,89.0
shopping,2024-07-29,16,88.0
shopping,2024-07-29,17,72.0
shopping,2024-07-29,18,50.0
shopping,2024-07-29,19,33.0
shopping,2024-07-29,20,20.0
shopping,2024-07-29,21,12.0
shopping,2024-07-29,22,5.0
shopping,2024-07-29,23,1.0
shopping,2024-07-30,0,2.0
shopping,2024-07-30,1,
shopping,2024-07-30,2,
shopping,2024-07-30,3,1.0
shopping,2024-07-30,4,2.0
shopping,2024-07-30,5,1.0
shopping,2024-07-30,6,6.0
shopping,2024-07-30,7,17.0
shopping,2024-07-30,8,21.0
shopping,2024-07-30,9,47.0
shopping,2024-07-30,10,86.0
shopping,2024-07-30,11,98.0
shopping,2024-07-30,12,71.0
shopping,2024-07-30,13,72.0
shopping,2024-07-30,14,60.0
shopping,2024-07-30,15,74.0
shopping,2024-07-30,16,77.0
shopping,2024-07-30,17,57.0
shopping,2024-07-30,18,64.0
shopping,2024-07-30,19,44.0
shopping,2024-07-30,20,15.0
shopping,2024-07-30,21,11.0
shopping,2024-07-30,22,3.0
shopping,2024-07-30,23,4.0
shopping,2024-07-31,0,2.0
shopping,2024-07-31,1,1.0
shopping,2024-07-31,2,1.0
shopping,2024-07-31,3,
shopping,2024-07-31,4,2.0
shopping,2024-07-31,5,
shopping,2024-07-31,6,2.0
shopping,2024-07-31,7,12.0
shopping,2024-07-31,8,23.0
shopping,2024-07-31,9,53.0
shopping,2024-07-31,10,66.0
shopping,2024-07-31,11,95.0
shopping,2024-07-31,12,102.0
shopping,2024-07-31,13,72.0
shopping,2024-07-31,14,69.0
shopping,2024-07-31,15,53.0
shopping,2024-07-31,16,61.0
shopping,2024-07-31,17,82.0
shopping,2024-07-31,18,60.0
shopping,2024-07-31,19,33.0
shopping,2024-07-31,20,16.0
shopping,2024-07-31,21,6.0
shopping,2024-07-31,22,4.0
shopping,2024-07-31,23,6.0
shopping,2024-08-01,0,4.0
shopping,2024-08-01,1,2.0
shopping,2024-08-01,2,1.0
shopping,2024-08-01,3,
shopping,2024-08-01,4,2.0
shopping,2024-08-01,5,2.0
shopping,2024-08-01,6,6.0
shopping,2024-08-01,7,14.0
shopping,2024-08-01,8,41.0
shopping,2024-08-01,9,85.0
shopping,2024-08-01,10,121.0
shopping,2024-08-01,11,133.0
shopping,2024-08-01,12,124.0
shopping,2024-08-01,13,97.0
shopping,2024-08-01,14,68.0
shopping,2024-08-01,15,90.0
shopping,2024-08-01,16,122.0
shopping,2024-08-01,17,93.0
shopping,2024-08-01,18,70.0
shopping,2024-08-01,19,35.0
shopping,2024-08-01,20,14.0
shopping,2024-08-01,21,13.0
shopping,2024-08-01,22,2.0
shopping,2024-08-01,23,1.0
shopping,2024-08-02,0,
shopping,2024-08-02,1,1.0
shopping,2024-08-02,2,
shopping,2024-08-02,3,
shopping,2024-08-02,4,
shopping,2024-08-02,5,4.0
shopping,2024-08-02,6,7.0
shopping,2024-08-02,7,14.0
shopping,2024-08-02,8,35.0
shopping,2024-08-02,9,60.0
shopping,2024-08-02,10,117.0
shopping,2024-08-02,11,120.0
shopping,2024-08-02,12,135.0
shopping,2024-08-02,13,134.0
shopping,2024-08-02,14,117.0
shopping,2024-08-02,15,132.0
shopping,2024-08-02,16,157.0
shopping,2024-08-02,17,117.0
shopping,2024-08-02,18,84.0
shopping,2024-08-02,19,36.0
shopping,2024-08-02,20,22.0
shopping,2024-08-02,21,16.0
shopping,2024-08-02,22,8.0
shopping,2024-08-02,23,6.0
shopping,2024-08-03,0,4.0
shopping,2024-08-03,1,2.0
shopping,2024-08-03,2,1.0
shopping,2024-08-03,3,2.0
shopping,2024-08-03,4,4.0
shopping,2024-08-03,5,4.0
shopping,2024-08-03,6,4.0
shopping,2024-08-03,7,8.0
shopping,2024-08-03,8,37.0
shopping,2024-08-03,9,77.0
shopping,2024-08-03,10,143.0
shopping,2024-08-03,11,157.0
shopping,2024-08-03,12,157.0
shopping,2024-08-03,13,173.0
shopping,2024-08-03,14,148.0
shopping,2024-08-03,15,126.0
shopping,2024-08-03,16,91.0
shopping,2024-08-03,17,82.0
shopping,2024-08-03,18,74.0
shopping,2024-08-03,19,45.0
shopping,2024-08-03,20,31.0
shopping,2024-08-03,21,15.0
shopping,2024-08-03,22,8.0
shopping,2024-08-03,23,7.0
shopping,2024-08-04,0,4.0
shopping,2024-08-04,1,2.0
shopping,2024-08-04,2,2.0
shopping,2024-08-04,3,3.0
shopping,2024-08-04,4,1.0
shopping,2024-08-04,5,2.0
shopping,2024-08-04,6,3.0
shopping,2024-08-04,7,4.0
shopping,2024-08-04,8,6.0
shopping,2024-08-04,9,11.0
shopping,2024-08-04,10,13.0
shopping,2024-08-04,11,26.0
shopping,2024-08-04,12,20.0
shopping,2024-08-04,13,19.0
shopping,2024-08-04,14,18.0
shopping,2024-08-04,15,21.0
shopping,2024-08-04,16,13.0
shopping,2024-08-04,17,10.0
shopping,2024-08-04,18,14.0
shopping,2024-08-04,19,9.0
shopping,2024-08-04,20,2.0
shopping,2024-08-04,21,6.0
shopping,2024-08-04,22,3.0
shopping,2024-08-04,23,1.0
dining,2024-04-29,0,6.0
dining,2024-04-29,1,4.0
dining,2024-04-29,2,5.0
dining,2024-04-29,3,3.0
dining,2024-04-29,4,1.0
dining,2024-04-29,5,7.0
dining,2024-04-29,6,12.0
dining,2024-04-29,7,31.0
dining,2024-04-29,8,51.0
dining,2024-04-29,9,73.0
dining,2024-04-29,10,105.0
dining,2024-04-29,11,114.0
dining,2024-04-29,12,104.0
dining,2024-04-29,13,107.0
dining,2024-04-29,14,99.0
dining,2024-04-29,15,93.0
dining,2024-04-29,16,96.0
dining,2024-04-29,17,86.0
dining,2024-04-29,18,65.0
dining,2024-04-29,19,51.0
dining,2024-04-29,20,15.0
dining,2024-04-29,21,21.0
dining,2024-04-29,22,10.0
dining,2024-04-29,23,7.0
dining,2024-04-30,0,7.0
dining,2024-04-30,1,3.0
dining,2024-04-30,2,5.0
dining,2024-04-30,3,5.0
dining,2024-04-30,4,2.0
dining,2024-04-30,5,9.0
dining,2024-04-30,6,8.0
dining,2024-04-30,7,26.0
dining,2024-04-30,8,60.0
dining,2024-04-30,9,86.0
dining,2024-04-30,10,119.0
dining,2024-04-30,11,107.0
dining,2024-04-30,12,121.0
dining,2024-04-30,13,103.0
dining,2024-04-30,14,86.0
dining,2024-04-30,15,111.0
dining,2024-04-30,16,123.0
dining,2024-04-30,17,104.0
dining,2024-04-30,18,112.0
dining,2024-04-30,19,105.0
dining,2024-04-30,20,68.0
dining,2024-04-30,21,77.0
dining,2024-04-30,22,63.0
dining,2024-04-30,23,59.0
dining,2024-05-01,0,65.0
dining,2024-05-01,1,37.0
dining,2024-05-01,2,18.0
dining,2024-05-01,3,4.0
dining,2024-05-01,4,6.0
dining,2024-05-01,5,5.0
dining,2024-05-01,6,6.0
dining,2024-05-01,7,15.0
dining,2024-05-01,8,18.0
dining,2024-05-01,9,30.0
dining,2024-05-01,10,53.0
dining,2024-05-01,11,68.0
dining,2024-05-01,12,78.0
dining,2024-05-01,13,107.0
dining,2024-05-01,14,94.0
dining,2024-05-01,15,97.0
dining,2024-05-01,16,67.0
dining,2024-05-01,17,60.0
dining,2024-05-01,18,41.0
dining,2024-05-01,19,43.0
dining,2024-05-01,20,23.0
dining,2024-05-01,21,9.0
dining,2024-05-01,22,16.0
dining,2024-05-01,23,6.0
dining,2024-05-02,0,10.0
dining,2024-05-02,1,3.0
dining,2024-05-02,2,2.0
dining,2024-05-02,3,5.0
dining,2024-05-02,4,9.0
dining,2024-05-02,5,4.0
dining,2024-05-02,6,9.0
dining,2024-05-02,7,29.0
dining,2024-05-02,8,43.0
dining,2024-05-02,9,67.0
dining,2024-05-02,10,109.0
dining,2024-05-02,11,113.0
dining,2024-05-02,12,130.0
dining,2024-05-02,13,92.0
dining,2024-05-02,14,83.0
dining,2024-05-02,15,90.0
dining,2024-05-02,16,94.0
dining,2024-05-02,17,98.0
dining,2024-05-02,18,64.0
dining,2024-05-02,19,53.0
dining,2024-05-02,20,33.0
dining,2024-05-02,21,15.0
dining,2024-05-02,22,14.0
dining,2024-05-02,23,6.0
dining,2024-05-03,0,7.0
dining,2024-05-03,1,5.0
dining,2024-05-03,2,4.0
dining,2024-05-03,3,4.0
dining,2024-05-03,4,5.0
dining,2024-05-03,5,4.0
dining,2024-05-03,6,13.0
dining,2024-05-03,7,30.0
dining,2024-05-03,8,36.0
dining,2024-05-03,9,68.0
dining,2024-05-03,10,99.0
dining,2024-05-03,11,112.0
dining,2024-05-03,12,111.0
dining,2024-05-03,13,102.0
dining,2024-05-03,14,98.0
dining,2024-05-03,15,102.0
dining,2024-05-03,16,119.0
dining,2024-05-03,17,114.0
dining,2024-05-03,18,107.0
dining,2024-05-03,19,98.0
dining,2024-05-03,20,55.0
dining,2024-05-03,21,61.0
dining,2024-05-03,22,37.0
dining,2024-05-03,23,21.0
dining,2024-05-04,0,18.0
dining,2024-05-04,1,7.0
dining,2024-05-04,2,7.0
dining,2024-05-04,3,5.0
dining,2024-05-04,4,4.0
dining,2024-05-04,5,3.0
dining,2024-05-04,6,7.0
dining,2024-05-04,7,11.0
dining,2024-05-04,8,51.0
dining,2024-05-04,9,64.0
dining,2024-05-04,10,126.0
dining,2024-05-04,11,186.0
dining,2024-05-04,12,217.0
dining,2024-05-04,13,211.0
dining,2024-05-04,14,175.0
dining,2024-05-04,15,162.0
dining,2024-05-04,16,149.0
dining,2024-05-04,17,124.0
dining,2024-05-04,18,100.0
dining,2024-05-04,19,122.0
dining,2024-05-04,20,100.0
dining,2024-05-04,21,76.0
dining,2024-05-04,22,37.0
dining,2024-05-04,23,36.0
dining,2024-05-05,0,30.0
dining,2024-05-05,1,23.0
dining,2024-05-05,2,14.0
dining,2024-05-05,3,11.0
dining,2024-05-05,4,7.0
dining,2024-05-05,5,4.0
dining,2024-05-05,6,4.0
dining,2024-05-05,7,8.0
dining,2024-05-05,8,22.0
dining,2024-05-05,9,27.0
dining,2024-05-05,10,52.0
dining,2024-05-05,11,61.0
dining,2024-05-05,12,75.0
dining,2024-05-05,13,113.0
dining,2024-05-05,14,80.0
dining,2024-05-05,15,93.0
dining,2024-05-05,16,65.0
dining,2024-05-05,17,64.0
dining,2024-05-05,18,43.0
dining,2024-05-05,19,29.0
dining,2024-05-05,20,21.0
dining,2024-05-05,21,12.0
dining,2024-05-05,22,4.0
dining,2024-05-05,23,9.0
dining,2024-05-06,0,3.0
dining,2024-05-06,1,4.0
dining,2024-05-06,2,1.0
dining,2024-05-06,3,2.0
dining,2024-05-06,4,
dining,2024-05-06,5,7.0
dining,2024-05-06,6,7.0
dining,2024-05-06,7,33.0
dining,2024-05-06,8,47.0
dining,2024-05-06,9,80.0
dining,2024-05-06,10,85.0
dining,2024-05-06,11,105.0
dining,2024-05-06,12,102.0
dining,2024-05-06,13,108.0
dining,2024-05-06,14,75.0
dining,2024-05-06,15,93.0
dining,2024-05-06,16,106.0
dining,2024-05-06,17,77.0
dining,2024-05-06,18,70.0
dining,2024-05-06,19,51.0
dining,2024-05-06,20,30.0
dining,2024-05-06,21,25.0
dining,2024-05-06,22,8.0
dining,2024-05-06,23,5.0
dining,2024-05-07,0,4.0
dining,2024-05-07,1,2.0
dining,2024-05-07,2,2.0
dining,2024-05-07,3,7.0
dining,2024-05-07,4,5.0
dining,2024-05-07,5,4.0
dining,2024-05-07,6,10.0
dining,2024-05-07,7,33.0
dining,2024-05-07,8,45.0
dining,2024-05-07,9,69.0
dining,2024-05-07,10,102.0
dining,2024-05-07,11,116.0
dining,2024-05-07,12,142.0
dining,2024-05-07,13,106.0
dining,2024-05-07,14,89.0
dining,2024-05-07,15,87.0
dining,2024-05-07,16,97.0
dining,2024-05-07,17,81.0
dining,2024-05-07,18,82.0
dining,2024-05-07,19,72.0
dining,2024-05-07,20,60.0
dining,2024-05-07,21,61.0
dining,2024-05-07,22,23.0
dining,2024-05-07,23,10.0
dining,2024-05-08,0,3.0
dining,2024-05-08,1,2.0
dining,2024-05-08,2,2.0
dining,2024-05-08,3,4.0
dining,2024-05-08,4,2.0
dining,2024-05-08,5,8.0
dining,2024-05-08,6,12.0
dining,2024-05-08,7,25.0
dining,2024-05-08,8,55.0
dining,2024-05-08,9,71.0
dining,2024-05-08,10,100.0
dining,2024-05-08,11,131.0
dining,2024-05-08,12,120.0
dining,2024-05-08,13,123.0
dining,2024-05-08,14,92.0
dining,2024-05-08,15,120.0
dining,2024-05-08,16,101.0
dining,2024-05-08,17,108.0
dining,2024-05-08,18,107.0
dining,2024-05-08,19,88.0
dining,2024-05-08,20,67.0
dining,2024-05-08,21,45.0
dining,2024-05-08,22,27.0
dining,2024-05-08,23,15.0
dining,2024-05-09,0,9.0
dining,2024-05-09,1,8.0
dining,2024-05-09,2,4.0
dining,2024-05-09,3,3.0
dining,2024-05-09,4,3.0
dining,2024-05-09,5,7.0
dining,2024-05-09,6,6.0
dining,2024-05-09,7,5.0
dining,2024-05-09,8,21.0
dining,2024-05-09,9,21.0
dining,2024-05-09,10,44.0
dining,2024-05-09,11,70.0
dining,2024-05-09,12,103.0
dining,2024-05-09,13,120.0
dining,2024-05-09,14,124.0
dining,2024-05-09,15,91.0
dining,2024-05-09,16,93.0
dining,2024-05-09,17,116.0
dining,2024-05-09,18,92.0
dining,2024-05-09,19,68.0
dining,2024-05-09,20,42.0
dining,2024-05-09,21,36.0
dining,2024-05-09,22,28.0
dining,2024-05-09,23,12.0
dining,2024-05-10,0,7.0
dining,2024-05-10,1,8.0
dining,2024-05-10,2,4.0
dining,2024-05-10,3,3.0
dining,2024-05-10,4,9.0
dining,2024-05-10,5,8.0
dining,2024-05-10,6,14.0
dining,2024-05-10,7,38.0
dining,2024-05-10,8,54.0
dining,2024-05-10,9,68.0
dining,2024-05-10,10,175.0
dining,2024-05-10,11,213.0
dining,2024-05-10,12,240.0
dining,2024-05-10,13,225.0
dining,2024-05-10,14,153.0
dining,2024-05-10,15,139.0
dining,2024-05-10,16,148.0
dining,2024-05-10,17,169.0
dining,2024-05-10,18,131.0
dining,2024-05-10,19,81.0
dining,2024-05-10,20,64.0
dining,2024-05-10,21,48.0
dining,2024-05-10,22,44.0
dining,2024-05-10,23,15.0
dining,2024-05-11,0,9.0
dining,2024-05-11,1,3.0
dining,2024-05-11,2,4.0
dining,2024-05-11,3,3.0
dining,2024-05-11,4,4.0
dining,2024-05-11,5,3.0
dining,2024-05-11,6,8.0
dining,2024-05-11,7,23.0
dining,2024-05-11,8,37.0
dining,2024-05-11,9,63.0
dining,2024-05-11,10,139.0
dining,2024-05-11,11,184.0
dining,2024-05-11,12,239.0
dining,2024-05-11,13,181.0
dining,2024-05-11,14,192.0
dining,2024-05-11,15,155.0
dining,2024-05-11,16,129.0
dining,2024-05-11,17,135.0
dining,2024-05-11,18,121.0
dining,2024-05-11,19,108.0
dining,2024-05-11,20,64.0
dining,2024-05-11,21,56.0
dining,2024-05-11,22,44.0
dining,2024-05-11,23,25.0
dining,2024-05-12,0,22.0
dining,2024-05-12,1,12.0
dining,2024-05-12,2,11.0
dining,2024-05-12,3,11.0
dining,2024-05-12,4,7.0
dining,2024-05-12,5,9.0
dining,2024-05-12,6,10.0
dining,2024-05-12,7,13.0
dining,2024-05-12,8,17.0
dining,2024-05-12,9,48.0
dining,2024-05-12,10,40.0
dining,2024-05-12,11,57.0
dining,2024-05-12,12,85.0
dining,2024-05-12,13,92.0
dining,2024-05-12,14,70.0
dining,2024-05-12,15,78.0
dining,2024-05-12,16,65.0
dining,2024-05-12,17,47.0
dining,2024-05-12,18,56.0
dining,2024-05-12,19,46.0
dining,2024-05-12,20,24.0
dining,2024-05-12,21,20.0
dining,2024-05-12,22,8.0
dining,2024-05-12,23,4.0
dining,2024-05-13,0,6.0
dining,2024-05-13,1,3.0
dining,2024-05-13,2,1.0
dining,2024-05-13,3,1.0
dining,2024-05-13,4,4.0
dining,2024-05-13,5,10.0
dining,2024-05-13,6,19.0
dining,2024-05-13,7,40.0
dining,2024-05-13,8,55.0
dining,2024-05-13,9,72.0
dining,2024-05-13,10,76.0
dining,2024-05-13,11,88.0
dining,2024-05-13,12,87.0
dining,2024-05-13,13,76.0
dining,2024-05-13,14,64.0
dining,2024-05-13,15,82.0
dining,2024-05-13,16,86.0
dining,2024-05-13,17,74.0
dining,2024-05-13,18,61.0
dining,2024-05-13,19,35.0
dining,2024-05-13,20,24.0
dining,2024-05-13,21,18.0
dining,2024-05-13,22,4.0
dining,2024-05-13,23,6.0
dining,2024-05-14,0,
dining,2024-05-14,1,1.0
dining,2024-05-14,2,2.0
dining,2024-05-14,3,1.0
dining,2024-05-14,4,7.0
dining,2024-05-14,5,6.0
dining,2024-05-14,6,8.0
dining,2024-05-14,7,34.0
dining,2024-05-14,8,42.0
dining,2024-05-14,9,46.0
dining,2024-05-14,10,80.0
dining,2024-05-14,11,98.0
dining,2024-05-14,12,120.0
dining,2024-05-14,13,84.0
dining,2024-05-14,14,96.0
dining,2024-05-14,15,72.0
dining,2024-05-14,16,75.0
dining,2024-05-14,17,79.0
dining,2024-05-14,18,67.0
dining,2024-05-14,19,55.0
dining,2024-05-14,20,38.0
dining,2024-05-14,21,21.0
dining,2024-05-14,22,13.0
dining,2024-05-14,23,10.0
dining,2024-05-15,0,7.0
dining,2024-05-15,1,3.0
dining,2024-05-15,2,5.0
dining,2024-05-15,3,1.0
dining,2024-05-15,4,3.0
dining,2024-05-15,5,7.0
dining,2024-05-15,6,15.0
dining,2024-05-15,7,30.0
dining,2024-05-15,8,40.0
dining,2024-05-15,9,55.0
dining,2024-05-15,10,78.0
dining,2024-05-15,11,100.0
dining,2024-05-15,12,104.0
dining,2024-05-15,13,73.0
dining,2024-05-15,14,85.0
dining,2024-05-15,15,90.0
dining,2024-05-15,16,77.0
dining,2024-05-15,17,91.0
dining,2024-05-15,18,69.0
dining,2024-05-15,19,54.0
dining,2024-05-15,20,32.0
dining,2024-05-15,21,20.0
dining,2024-05-15,22,13.0
dining,2024-05-15,23,13.0
dining,2024-05-16,0,3.0
dining,2024-05-16,1,3.0
dining,2024-05-16,2,
dining,2024-05-16,3,1.0
dining,2024-05-16,4,1.0
dining,2024-05-16,5,9.0
dining,2024-05-16,6,10.0
dining,2024-05-16,7,20.0
dining,2024-05-16,8,56.0
dining,2024-05-16,9,89.0
dining,2024-05-16,10,91.0
dining,2024-05-16,11,126.0
dining,2024-05-16,12,144.0
dining,2024-05-16,13,97.0
dining,2024-05-16,14,101.0
dining,2024-05-16,15,127.0
dining,2024-05-16,16,94.0
dining,2024-05-16,17,105.0
dining,2024-05-16,18,82.0
dining,2024-05-16,19,56.0
dining,2024-05-16,20,36.0
dining,2024-05-16,21,23.0
dining,2024-05-16,22,39.0
dining,2024-05-16,23,9.0
dining,2024-05-17,0,6.0
dining,2024-05-17,1,3.0
dining,2024-05-17,2,1.0
dining,2024-05-17,3,4.0
dining,2024-05-17,4,2.0
dining,2024-05-17,5,6.0
dining,2024-05-17,6,16.0
dining,2024-05-17,7,21.0
dining,2024-05-17,8,42.0
dining,2024-05-17,9,81.0
dining,2024-05-17,10,97.0
dining,2024-05-17,11,126.0
dining,2024-05-17,12,138.0
dining,2024-05-17,13,110.0
dining,2024-05-17,14,89.0
dining,2024-05-17,15,116.0
dining,2024-05-17,16,117.0
dining,2024-05-17,17,128.0
dining,2024-05-17,18,121.0
dining,2024-05-17,19,90.0
dining,2024-05-17,20,49.0
dining,2024-05-17,21,47.0
dining,2024-05-17,22,38.0
dining,2024-05-17,23,18.0
dining,2024-05-18,0,13.0
dining,2024-05-18,1,6.0
dining,2024-05-18,2,5.0
dining,2024-05-18,3,8.0
dining,2024-05-18,4,6.0
dining,2024-05-18,5,6.0
dining,2024-05-18,6,7.0
dining,2024-05-18,7,18.0
dining,2024-05-18,8,39.0
dining,2024-05-18,9,82.0
dining,2024-05-18,10,105.0
dining,2024-05-18,11,154.0
dining,2024-05-18,12,258.0
dining,2024-05-18,13,202.0
dining,2024-05-18,14,205.0
dining,2024-05-18,15,194.0
dining,2024-05-18,16,214.0
dining,2024-05-18,17,124.0
dining,2024-05-18,18,135.0
dining,2024-05-18,19,99.0
dining,2024-05-18,20,82.0
dining,2024-05-18,21,67.0
dining,2024-05-18,22,72.0
dining,2024-05-18,23,30.0
dining,2024-05-19,0,20.0
dining,2024-05-19,1,19.0
dining,2024-05-19,2,15.0
dining,2024-05-19,3,6.0
dining,2024-05-19,4,5.0
dining,2024-05-19,5,3.0
dining,2024-05-19,6,6.0
dining,2024-05-19,7,11.0
dining,2024-05-19,8,17.0
dining,2024-05-19,9,29.0
dining,2024-05-19,10,32.0
dining,2024-05-19,11,65.0
dining,2024-05-19,12,97.0
dining,2024-05-19,13,105.0
dining,2024-05-19,14,92.0
dining,2024-05-19,15,96.0
dining,2024-05-19,16,102.0
dining,2024-05-19,17,108.0
dining,2024-05-19,18,80.0
dining,2024-05-19,19,48.0
dining,2024-05-19,20,58.0
dining,2024-05-19,21,41.0
dining,2024-05-19,22,49.0
dining,2024-05-19,23,22.0
dining,2024-05-20,0,22.0
dining,2024-05-20,1,13.0
dining,2024-05-20,2,8.0
dining,2024-05-20,3,7.0
dining,2024-05-20,4,4.0
dining,2024-05-20,5,7.0
dining,2024-05-20,6,7.0
dining,2024-05-20,7,8.0
dining,2024-05-20,8,14.0
dining,2024-05-20,9,23.0
dining,2024-05-20,10,43.0
dining,2024-05-20,11,48.0
dining,2024-05-20,12,89.0
dining,2024-05-20,13,78.0
dining,2024-05-20,14,82.0
dining,2024-05-20,15,85.0
dining,2024-05-20,16,54.0
dining,2024-05-20,17,44.0
dining,2024-05-20,18,48.0
dining,2024-05-20,19,26.0
dining,2024-05-20,20,25.0
dining,2024-05-20,21,16.0
dining,2024-05-20,22,10.0
dining,2024-05-20,23,4.0
dining,2024-05-21,0,6.0
dining,2024-05-21,1,2.0
dining,2024-05-21,2,1.0
dining,2024-05-21,3,1.0
dining,2024-05-21,4,1.0
dining,2024-05-21,5,8.0
dining,2024-05-21,6,17.0
dining,2024-05-21,7,24.0
dining,2024-05-21,8,38.0
dining,2024-05-21,9,67.0
dining,2024-05-21,10,120.0
dining,2024-05-21,11,133.0
dining,2024-05-21,12,111.0
dining,2024-05-21,13,97.0
dining,2024-05-21,14,116.0
dining,2024-05-21,15,99.0
dining,2024-05-21,16,88.0
dining,2024-05-21,17,82.0
dining,2024-05-21,18,58.0
dining,2024-05-21,19,35.0
dining,2024-05-21,20,22.0
dining,2024-05-21,21,15.0
dining,2024-05-21,22,15.0
dining,2024-05-21,23,7.0
dining,2024-05-22,0,8.0
dining,2024-05-22,1,5.0
dining,2024-05-22,2,3.0
dining,2024-05-22,3,2.0
dining,2024-05-22,4,5.0
dining,2024-05-22,5,8.0
dining,2024-05-22,6,12.0
dining,2024-05-22,7,29.0
dining,2024-05-22,8,54.0
dining,2024-05-22,9,82.0
dining,2024-05-22,10,71.0
dining,2024-05-22,11,105.0
dining,2024-05-22,12,91.0
dining,2024-05-22,13,99.0
dining,2024-05-22,14,92.0
dining,2024-05-22,15,75.0
dining,2024-05-22,16,110.0
dining,2024-05-22,17,79.0
dining,2024-05-22,18,69.0
dining,2024-05-22,19,36.0
dining,2024-05-22,20,29.0
dining,2024-05-22,21,16.0
dining,2024-05-22,22,9.0
dining,2024-05-22,23,9.0
dining,2024-05-23,0,5.0
dining,2024-05-23,1,2.0
dining,2024-05-23,2,4.0
dining,2024-05-23,3,6.0
dining,2024-05-23,4,2.0
dining,2024-05-23,5,11.0
dining,2024-05-23,6,19.0
dining,2024-05-23,7,25.0
dining,2024-05-23,8,41.0
dining,2024-05-23,9,72.0
dining,2024-05-23,10,101.0
dining,2024-05-23,11,94.0
dining,2024-05-23,12,139.0
dining,2024-05-23,13,93.0
dining,2024-05-23,14,109.0
dining,2024-05-23,15,92.0
dining,2024-05-23,16,100.0
dining,2024-05-23,17,112.0
dining,2024-05-23,18,67.0
dining,2024-05-23,19,60.0
dining,2024-05-23,20,35.0
dining,2024-05-23,21,21.0
dining,2024-05-23,22,17.0
dining,2024-05-23,23,4.0
dining,2024-05-24,0,5.0
dining,2024-05-24,1,3.0
dining,2024-05-24,2,2.0
dining,2024-05-24,3,
dining,2024-05-24,4,2.0
dining,2024-05-24,5,12.0
dining,2024-05-24,6,12.0
dining,2024-05-24,7,38.0
dining,2024-05-24,8,48.0
dining,2024-05-24,9,73.0
dining,2024-05-24,10,77.0
dining,2024-05-24,11,98.0
dining,2024-05-24,12,119.0
dining,2024-05-24,13,84.0
dining,2024-05-24,14,107.0
dining,2024-05-24,15,112.0
dining,2024-05-24,16,109.0
dining,2024-05-24,17,130.0
dining,2024-05-24,18,124.0
dining,2024-05-24,19,101.0
dining,2024-05-24,20,58.0
dining,2024-05-24,21,49.0
dining,2024-05-24,22,30.0
dining,2024-05-24,23,21.0
dining,2024-05-25,0,15.0
dining,2024-05-25,1,14.0
dining,2024-05-25,2,8.0
dining,2024-05-25,3,5.0
dining,2024-05-25,4,8.0
dining,2024-05-25,5,6.0
dining,2024-05-25,6,10.0
dining,2024-05-25,7,15.0
dining,2024-05-25,8,42.0
dining,2024-05-25,9,60.0
dining,2024-05-25,10,108.0
dining,2024-05-25,11,159.0
dining,2024-05-25,12,196.0
dining,2024-05-25,13,226.0
dining,2024-05-25,14,195.0
dining,2024-05-25,15,184.0
dining,2024-05-25,16,158.0
dining,2024-05-25,17,137.0
dining,2024-05-25,18,135.0
dining,2024-05-25,19,124.0
dining,2024-05-25,20,101.0
dining,2024-05-25,21,50.0
dining,2024-05-25,22,35.0
dining,2024-05-25,23,28.0
dining,2024-05-26,0,16.0
dining,2024-05-26,1,19.0
dining,2024-05-26,2,19.0
dining,2024-05-26,3,7.0
dining,2024-05-26,4,9.0
dining,2024-05-26,5,7.0
dining,2024-05-26,6,3.0
dining,2024-05-26,7,9.0
dining,2024-05-26,8,25.0
dining,2024-05-26,9,36.0
dining,2024-05-26,10,33.0
dining,2024-05-26,11,53.0
dining,2024-05-26,12,82.0
dining,2024-05-26,13,80.0
dining,2024-05-26,14,87.0
dining,2024-05-26,15,79.0
dining,2024-05-26,16,73.0
dining,2024-05-26,17,54.0
dining,2024-05-26,18,81.0
dining,2024-05-26,19,90.0
dining,2024-05-26,20,82.0
dining,2024-05-26,21,93.0
dining,2024-05-26,22,63.0
dining,2024-05-26,23,9.0
dining,2024-05-27,0,3.0
dining,2024-05-27,1,3.0
dining,2024-05-27,2,1.0
dining,2024-05-27,3,2.0
dining,2024-05-27,4,6.0
dining,2024-05-27,5,7.0
dining,2024-05-27,6,16.0
dining,2024-05-27,7,25.0
dining,2024-05-27,8,54.0
dining,2024-05-27,9,68.0
dining,2024-05-27,10,85.0
dining,2024-05-27,11,89.0
dining,2024-05-27,12,97.0
dining,2024-05-27,13,87.0
dining,2024-05-27,14,75.0
dining,2024-05-27,15,101.0
dining,2024-05-27,16,102.0
dining,2024-05-27,17,98.0
dining,2024-05-27,18,62.0
dining,2024-05-27,19,40.0
dining,2024-05-27,20,24.0
dining,2024-05-27,21,20.0
dining,2024-05-27,22,9.0
dining,2024-05-27,23,8.0
dining,2024-05-28,0,4.0
dining,2024-05-28,1,3.0
dining,2024-05-28,2,1.0
dining,2024-05-28,3,2.0
dining,2024-05-28,4,3.0
dining,2024-05-28,5,7.0
dining,2024-05-28,6,6.0
dining,2024-05-28,7,30.0
dining,2024-05-28,8,55.0
dining,2024-05-28,9,60.0
