day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-04-29,Berlin,5366,0,1.0591287184548146,1.0591287184548146
2024-04-29,Dortmund,1130,0,1.1767331151443021,1.1767331151443021
2024-04-29,Düsseldorf,938,0,1.0249765844520762,1.0249765844520762
2024-04-29,Frankfurt am Main,710,0,0.9716520039100685,0.9716520039100685
2024-04-29,Gelsenkirchen,1474,0,1.4432787802489857,1.4432787802489857
2024-04-29,Hamburg,3116,0,1.0988966698574236,1.0988966698574236
2024-04-29,Köln,1302,0,1.0803698435277382,1.0803698435277382
2024-04-29,Leipzig,2502,0,1.3409386723834316,1.3409386723834316
2024-04-29,München,464,0,1.0099502487562189,1.0099502487562189
2024-04-29,Stuttgart,728,0,1.0294949494949495,1.0294949494949495
2024-04-30,Berlin,5874,0,1.0571810562040418,1.0571810562040418
2024-04-30,Dortmund,1524,0,1.4062747165831795,1.4062747165831795
2024-04-30,Düsseldorf,1218,0,1.2564102564102564,1.2564102564102564
2024-04-30,Frankfurt am Main,944,0,1.193426042983565,1.193426042983565
2024-04-30,Gelsenkirchen,1686,0,1.5405299569246835,1.5405299569246835
2024-04-30,Hamburg,3726,0,1.2415861379540154,1.2415861379540154
2024-04-30,Köln,1846,0,1.3404564315352698,1.3404564315352698
2024-04-30,Leipzig,2478,0,1.244243598020228,1.244243598020228
2024-04-30,München,756,22,1.3864291328268272,1.4267749541524757
2024-04-30,Stuttgart,1144,0,1.3785505250473402,1.3785505250473402
2024-05-01,Berlin,2570,0,0.4837191793713533,0.4837191793713533
2024-05-01,Dortmund,942,74,0.9021754001915447,0.9730469284443837
2024-05-01,Düsseldorf,442,0,0.4600743494423792,0.4600743494423792
2024-05-01,Frankfurt am Main,360,0,0.46571798188874514,0.46571798188874514
2024-05-01,Gelsenkirchen,702,0,0.6338191667741518,0.6338191667741518
2024-05-01,Hamburg,1288,0,0.4189396403512848,0.4189396403512848
2024-05-01,Köln,676,0,0.4646048109965636,0.4646048109965636
2024-05-01,Leipzig,1194,0,0.5942410238179879,0.5942410238179879
2024-05-01,München,232,0,0.43249001331557924,0.43249001331557924
2024-05-01,Stuttgart,540,0,0.5653604546814239,0.5653604546814239
2024-05-02,Berlin,5284,0,0.9504573954157672,0.9504573954157672
2024-05-02,Dortmund,1268,0,1.2480314960629921,1.2480314960629921
2024-05-02,Düsseldorf,1108,0,1.2196886302877812,1.2196886302877812
2024-05-02,Frankfurt am Main,600,0,0.7442849548112707,0.7442849548112707
2024-05-02,Gelsenkirchen,1382,0,1.2754119973632168,1.2754119973632168
2024-05-02,Hamburg,3228,0,1.0157331655129012,1.0157331655129012
2024-05-02,Köln,1414,0,1.0376349722193101,1.0376349722193101
2024-05-02,Leipzig,2302,0,1.11353741966692,1.11353741966692
2024-05-02,München,618,0,1.1635287789133943,1.1635287789133943
2024-05-02,Stuttgart,756,0,0.9604355716878403,0.9604355716878403
2024-05-03,Berlin,5818,0,1.0153577661431064,1.0153577661431064
2024-05-03,Dortmund,1256,0,1.0190078813166434,1.0190078813166434
2024-05-03,Düsseldorf,904,14,0.8212848799480856,0.8340038935756002
2024-05-03,Frankfurt am Main,676,0,0.7761194029850746,0.7761194029850746
2024-05-03,Gelsenkirchen,1382,0,1.1704779189352692,1.1704779189352692
2024-05-03,Hamburg,3116,94,0.8815422543749747,0.908135634320818
2024-05-03,Köln,1838,0,1.0199778024417314,1.0199778024417314
2024-05-03,Leipzig,2672,0,1.0804690659118479,1.0804690659118479
2024-05-03,München,428,0,0.7208854667949952,0.7208854667949952
2024-05-03,Stuttgart,728,0,0.9178674351585014,0.9178674351585014
2024-05-04,Berlin,5306,0,1.21820984617403,1.21820984617403
2024-05-04,Dortmund,1616,172,1.36338435579125,1.508497047125467
2024-05-04,Düsseldorf,696,0,0.5379858657243816,0.5379858657243816
2024-05-04,Frankfurt am Main,614,0,0.9061775247733502,0.9061775247733502
2024-05-04,Gelsenkirchen,1016,0,1.139560967793623,1.139560967793623
2024-05-04,Hamburg,2568,0,0.834075723830735,0.834075723830735
