day,ncontacts_1,ncontacts_2
2024-04-29,58948,4
2024-04-30,71694,46
2024-05-01,43698,66
2024-05-02,57124,0
2024-05-03,62410,104
2024-05-04,59874,488
2024-05-05,43088,204
2024-05-06,56016,2
2024-05-07,56856,2
2024-05-08,73838,0
2024-05-09,45732,130
2024-05-10,59920,94
2024-05-11,57508,630
2024-05-12,54118,220
2024-05-13,54584,2
2024-05-14,55332,12
2024-05-15,59780,2
2024-05-16,66446,0
2024-05-17,76138,196
2024-05-18,64392,760
2024-05-19,46018,432
2024-05-20,44934,6
2024-05-21,57230,308
2024-05-22,53906,2
2024-05-23,57004,48
2024-05-24,63748,90
2024-05-25,55304,202
2024-05-26,40954,292
2024-05-27,52240,74
2024-05-28,52264,0
2024-05-29,60672,2
2024-05-30,52874,0
2024-05-31,67834,26
2024-06-01,59254,212
2024-06-02,47838,52
2024-06-03,52828,12
2024-06-04,52092,6
2024-06-05,54036,2
2024-06-06,58692,194
2024-06-07,64670,20
2024-06-08,56816,8
2024-06-09,42800,66
2024-06-10,51900,2
2024-06-11,52932,2
2024-06-12,53092,140
2024-06-13,57130,32
2024-06-14,64036,32
2024-06-15,54480,112
2024-06-16,43598,52
2024-06-17,51352,58
2024-06-18,51088,80
2024-06-19,52240,42
2024-06-20,56984,22
2024-06-21,63710,270
2024-06-22,54982,686
2024-06-23,42638,60
2024-06-24,50520,26
2024-06-25,50188,62
2024-06-26,51590,82
2024-06-27,54980,0
2024-06-28,66638,0
2024-06-29,57880,190
2024-06-30,41226,94
2024-07-01,54942,62
2024-07-02,52686,124
2024-07-03,52514,0
2024-07-04,59034,0
2024-07-05,64280,252
2024-07-06,56092,130
2024-07-07,45974,8
2024-07-08,51640,2
2024-07-09,50118,4
2024-07-10,51490,18
2024-07-11,56842,146
2024-07-12,65064,402
2024-07-13,61700,384
2024-07-14,45058,42
2024-07-15,51676,0
2024-07-16,50596,88
2024-07-17,53426,168
2024-07-18,55100,168
2024-07-19,61606,462
2024-07-20,56288,280
2024-07-21,43326,100
2024-07-22,50502,2
2024-07-23,48064,42
2024-07-24,48548,40
2024-07-25,52862,14
2024-07-26,58912,318
2024-07-27,56028,418
2024-07-28,43564,32
2024-07-29,48504,324
2024-07-30,46834,250
2024-07-31,52360,398
2024-08-01,54036,0
2024-08-02,63174,82
2024-08-03,60090,310
2024-08-04,47098,50
