hour_rel,germany,normed
-7,True,0.042105263157894736
-6,True,0.05263157894736842
-5,True,0.07894736842105263
-4,True,0.05789473684210526
-3,True,0.06842105263157895
-2,True,0.05789473684210526
-1,True,0.16842105263157894
0,True,0.04736842105263158
1,True,0.04736842105263158
2,True,0.02631578947368421
-7,False,0.03283582089552239
-6,False,0.056716417910447764
-5,False,0.05373134328358209
-4,False,0.08656716417910448
-3,False,0.08358208955223881
-2,False,0.11044776119402985
-1,False,0.0955223880597015
0,False,0.08358208955223881
1,False,0.06567164179104477
2,False,0.05970149253731343
3,False,0.050746268656716415
4,False,0.07761194029850746
5,False,0.03283582089552239
-7,True,0.03413654618473896
-6,True,0.028112449799196786
-5,True,0.028112449799196786
-4,True,0.04618473895582329
-3,True,0.05823293172690763
-2,True,0.20080321285140562
-1,True,0.21084337349397592
0,True,0.06827309236947791
1,True,0.07630522088353414
2,True,0.07028112449799197
3,True,0.020080321285140562
4,True,0.008032128514056224
5,True,0.0
-7,False,0.09895833333333333
-6,False,0.11197916666666667
-5,False,0.1484375
-4,False,0.09114583333333333
-3,False,0.03125
-2,False,0.018229166666666668
-1,False,0.020833333333333332
0,False,0.0078125
1,False,0.010416666666666666
2,False,0.015625
-7,True,0.02972972972972973
-6,True,0.021621621621621623
-5,True,0.05675675675675676
-4,True,0.051351351351351354
-3,True,0.0945945945945946
-2,True,0.1918918918918919
-1,True,0.11891891891891893
0,True,0.05945945945945946
1,True,0.0891891891891892
2,True,0.01891891891891892
-7,False,0.08152173913043478
-6,False,0.06521739130434782
-5,False,0.10869565217391304
-4,False,0.07065217391304347
-3,False,0.09239130434782608
-2,False,0.08152173913043478
-1,False,0.03804347826086957
0,False,0.043478260869565216
1,False,0.043478260869565216
2,False,0.021739130434782608
-7,False,0.0640625
-6,False,0.0671875
-5,False,0.075
-4,False,0.0859375
-3,False,0.07578125
-2,False,0.071875
-1,False,0.07109375
0,False,0.065625
1,False,0.06640625
2,False,0.06171875
3,False,0.053125
4,False,0.0484375
5,False,0.01484375
-7,False,0.06476683937823834
-6,False,0.08031088082901554
-5,False,0.08549222797927461
-4,False,0.11139896373056994
-3,False,0.08031088082901554
-2,False,0.12176165803108809
-1,False,0.08290155440414508
0,False,0.025906735751295335
1,False,0.025906735751295335
2,False,0.046632124352331605
-7,False,0.07222222222222222
-6,False,0.05555555555555555
-5,False,0.042222222222222223
-4,False,0.056666666666666664
-3,False,0.057777777777777775
-2,False,0.06888888888888889
-1,False,0.06777777777777778
0,False,0.10222222222222223
1,False,0.11444444444444445
2,False,0.07555555555555556
3,False,0.034444444444444444
4,False,0.024444444444444446
5,False,0.021111111111111112
-7,False,0.052486187845303865
-6,False,0.09944751381215469
-5,False,0.07734806629834254
-4,False,0.0718232044198895
-3,False,0.058011049723756904
-2,False,0.08839779005524862
-1,False,0.13259668508287292
0,False,0.04143646408839779
1,False,0.03314917127071823
2,False,0.03038674033149171
-7,False,0.06890756302521009
-6,False,0.08403361344537816
-5,False,0.10084033613445378
-4,False,0.09747899159663866
-3,False,0.07899159663865546
-2,False,0.03697478991596639
-1,False,0.03865546218487395
0,False,0.02689075630252101
1,False,0.02689075630252101
2,False,0.013445378151260505
-7,False,0.04189944134078212
-6,False,0.055865921787709494
-5,False,0.10614525139664804
-4,False,0.05865921787709497
-3,False,0.08659217877094973
-2,False,0.061452513966480445
-1,False,0.0893854748603352
0,False,0.061452513966480445
1,False,0.036312849162011177
2,False,0.025139664804469275
-7,False,0.026595744680851064
-6,False,0.06382978723404255
-5,False,0.09574468085106383
-4,False,0.047872340425531915
-3,False,0.07446808510638298
-2,False,0.09042553191489362
-1,False,0.25
0,False,0.05319148936170213
1,False,0.07446808510638298
2,False,0.005319148936170213
3,False,0.02127659574468085
4,False,0.010638297872340425
5,False,0.010638297872340425
-7,False,0.06147540983606557
-6,False,0.0778688524590164
-5,False,0.045081967213114756
-4,False,0.05327868852459016
-3,False,0.09836065573770492
-2,False,0.05327868852459016
-1,False,0.12295081967213115
0,False,0.040983606557377046
1,False,0.028688524590163935
2,False,0.01639344262295082
-7,False,0.05913978494623656
-6,False,0.11827956989247312
-5,False,0.05913978494623656
-4,False,0.06989247311827956
-3,False,0.06451612903225806
-2,False,0.06451612903225806
-1,False,0.10215053763440861
0,False,0.12365591397849462
1,False,0.06451612903225806
2,False,0.0913978494623656
3,False,0.06451612903225806
4,False,0.03763440860215054
5,False,0.021505376344086023
-7,False,0.054140127388535034
-6,False,0.07643312101910828
-5,False,0.044585987261146494
-4,False,0.08917197452229299
-3,False,0.07961783439490445
-2,False,0.0732484076433121
-1,False,0.11464968152866242
0,False,0.07961783439490445
1,False,0.028662420382165606
2,False,0.054140127388535034
3,False,0.03503184713375796
4,False,0.03184713375796178
5,False,0.03184713375796178
-7,False,0.027184466019417475
-6,False,0.07184466019417475
-5,False,0.06796116504854369
-4,False,0.07184466019417475
-3,False,0.05825242718446602
-2,False,0.07378640776699029
-1,False,0.11067961165048544
0,False,0.15145631067961166
1,False,0.04854368932038835
2,False,0.019417475728155338
-7,False,0.06629834254143646
-6,False,0.049723756906077346
-5,False,0.13259668508287292
-4,False,0.07734806629834254
-3,False,0.0718232044198895
-2,False,0.06629834254143646
-1,False,0.07734806629834254
0,False,0.011049723756906077
1,False,0.0055248618784530384
2,False,0.011049723756906077
-7,False,0.01926444833625219
-6,False,0.043782837127845885
-5,False,0.03852889667250438
-4,False,0.05604203152364273
-3,False,0.09982486865148861
-2,False,0.138353765323993
-1,False,0.09982486865148861
0,False,0.09106830122591944
1,False,0.08581436077057793
2,False,0.08756567425569177
3,False,0.05604203152364273
4,False,0.04553415061295972
5,False,0.03677758318739054
-7,False,0.08247422680412371
-6,False,0.06872852233676977
-5,False,0.09278350515463918
-4,False,0.12371134020618557
-3,False,0.1134020618556701
-2,False,0.058419243986254296
-1,False,0.037800687285223365
0,False,0.061855670103092786
1,False,0.024054982817869417
2,False,0.01718213058419244
-7,False,0.06426735218508997
-6,False,0.06683804627249357
-5,False,0.06940874035989718
-4,False,0.12146529562982006
-3,False,0.09897172236503857
-2,False,0.07069408740359898
-1,False,0.08676092544987146
0,False,0.056555269922879174
1,False,0.04177377892030849
2,False,0.02570694087403599
3,False,0.01992287917737789
4,False,0.014781491002570694
5,False,0.014138817480719794
-7,False,0.06338028169014084
-6,False,0.07464788732394366
-5,False,0.06901408450704226
-4,False,0.1
-3,False,0.07042253521126761
-2,False,0.07042253521126761
-1,False,0.05352112676056338
0,False,0.0323943661971831
1,False,0.016901408450704224
2,False,0.018309859154929577
-7,False,0.055040197897340756
-6,False,0.05689548546691404
-5,False,0.07297464440321583
-4,False,0.07482993197278912
-3,False,0.10204081632653061
-2,False,0.11935683364254793
-1,False,0.07173778602350031
0,False,0.04143475572047001
1,False,0.021026592455163882
2,False,0.030921459492888066
3,False,0.019789734075448363
4,False,0.017316017316017316
5,False,0.013605442176870748
-7,False,0.05343511450381679
-6,False,0.04071246819338423
-5,False,0.03816793893129771
-4,False,0.043256997455470736
-3,False,0.07888040712468193
-2,False,0.13486005089058525
-1,False,0.13740458015267176
0,False,0.07888040712468193
1,False,0.07888040712468193
2,False,0.030534351145038167
3,False,0.017811704834605598
4,False,0.005089058524173028
5,False,0.007633587786259542
-7,False,0.07792207792207792
-6,False,0.045454545454545456
-5,False,0.05194805194805195
-4,False,0.07142857142857142
-3,False,0.07142857142857142
-2,False,0.07142857142857142
-1,False,0.06493506493506493
0,False,0.11688311688311688
1,False,0.11688311688311688
2,False,0.07142857142857142
3,False,0.05194805194805195
4,False,0.045454545454545456
5,False,0.025974025974025976
-7,False,0.05472636815920398
-6,False,0.07462686567164178
-5,False,0.0845771144278607
-4,False,0.0845771144278607
-3,False,0.04975124378109453
-2,False,0.07462686567164178
-1,False,0.07960199004975124
0,False,0.07462686567164178
1,False,0.06467661691542288
2,False,0.05472636815920398
3,False,0.01990049751243781
