day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-04-29,Berlin,2622,0,1.0421895406280166,1.0421895406280166
2024-04-29,Dortmund,592,0,1.180290515522643,1.180290515522643
2024-04-29,Düsseldorf,514,0,1.0821052631578947,1.0821052631578947
2024-04-29,Frankfurt am Main,374,2,0.958974358974359,0.9641025641025641
2024-04-29,Gelsenkirchen,676,0,1.3913554836812703,1.3913554836812703
2024-04-29,Hamburg,1570,0,1.1095406360424027,1.1095406360424027
2024-04-29,Köln,634,0,1.0352227665033822,1.0352227665033822
2024-04-29,Leipzig,1312,0,1.3258264761079832,1.3258264761079832
2024-04-29,München,240,0,0.9518413597733711,0.9518413597733711
2024-04-29,Stuttgart,360,0,0.9531013615733737,0.9531013615733737
2024-04-30,Berlin,3076,0,1.1376340677339252,1.1376340677339252
2024-04-30,Dortmund,840,0,1.4965640111987781,1.4965640111987781
2024-04-30,Düsseldorf,568,0,1.1756357185097575,1.1756357185097575
2024-04-30,Frankfurt am Main,536,0,1.2177864329763064,1.2177864329763064
2024-04-30,Gelsenkirchen,806,0,1.595137121854679,1.595137121854679
2024-04-30,Hamburg,1774,0,1.193694126694223,1.193694126694223
2024-04-30,Köln,968,0,1.3444444444444446,1.3444444444444446
2024-04-30,Leipzig,1298,0,1.2326685660018994,1.2326685660018994
2024-04-30,München,354,18,1.2720739219712527,1.3367556468172486
2024-04-30,Stuttgart,682,0,1.5454839753965686,1.5454839753965686
2024-05-01,Berlin,1372,0,0.5244648318042814,0.5244648318042814
2024-05-01,Dortmund,540,62,1.0350492880613364,1.1538882803943047
2024-05-01,Düsseldorf,252,0,0.5185185185185185,0.5185185185185185
2024-05-01,Frankfurt am Main,198,0,0.48957965383256796,0.48957965383256796
2024-05-01,Gelsenkirchen,404,0,0.7790633608815427,0.7790633608815427
2024-05-01,Hamburg,730,0,0.4788230884557721,0.4788230884557721
2024-05-01,Köln,350,0,0.47499030632027917,0.47499030632027917
2024-05-01,Leipzig,710,0,0.6667561041051784,0.6667561041051784
2024-05-01,München,136,0,0.47743229689067207,0.47743229689067207
2024-05-01,Stuttgart,268,0,0.5186618744816146,0.5186618744816146
2024-05-02,Berlin,2590,0,0.9393295684161442,0.9393295684161442
2024-05-02,Dortmund,582,0,1.125414364640884,1.125414364640884
2024-05-02,Düsseldorf,566,0,1.1984271022383546,1.1984271022383546
2024-05-02,Frankfurt am Main,302,0,0.6903984323971261,0.6903984323971261
2024-05-02,Gelsenkirchen,676,0,1.3292134831460674,1.3292134831460674
2024-05-02,Hamburg,1574,0,1.0015453140623578,1.0015453140623578
2024-05-02,Köln,750,0,1.0363205684958547,1.0363205684958547
2024-05-02,Leipzig,1174,0,1.1068013468013467,1.1068013468013467
2024-05-02,München,298,0,1.0697435897435899,1.0697435897435899
2024-05-02,Stuttgart,420,0,1.0385022960084775,1.0385022960084775
2024-05-03,Berlin,2968,0,1.0349190535491906,1.0349190535491906
2024-05-03,Dortmund,644,0,1.0247783587178905,1.0247783587178905
2024-05-03,Düsseldorf,472,12,0.8349759919130654,0.8562041950972958
2024-05-03,Frankfurt am Main,362,0,0.7667170953101361,0.7667170953101361
2024-05-03,Gelsenkirchen,626,0,1.1725983409151726,1.1725983409151726
2024-05-03,Hamburg,1610,84,0.9204508330610912,0.9684743547860176
2024-05-03,Köln,964,0,1.061340044039006,1.061340044039006
2024-05-03,Leipzig,1270,0,0.9882169853268119,0.9882169853268119
