did,centroids_ar,types,nominatim,len
1EA31718066D9E01FFAAF53722490B442024-06-19,"[(9.118573708138513, 48.824989885216254), (9.155901181451219, 48.81440337473786), (9.234013573837938, 48.791992275552914), (9.22976042218096, 48.79235223629686), (9.17928773649561, 48.77747195496997), (9.16648694283409, 48.82963943531392)]","['parking', 'school', 'restaurant', 'post_box', 'restaurant', 'post_box']","[('unknown', 'building', 'apartments', 79578343), ('Stuttgart', 'amenity', 'school', 24604898), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'historic', 'memorial', 2286777619), ('Stuttgart', 'historic', 'castle', 22988), ('Stuttgart', 'amenity', 'ticket_validator', 7293122794)]",6
1F7F965496618871DB20376A27F9D1BB2024-06-19,"[(9.480744214960275, 48.79811482658351), (9.231458780727028, 48.791575748758305)]","['vending_machine', 'unknown']","[('Engelberg', 'building', 'apartments', 171036170), ('Stuttgart', 'leisure', 'stadium', 3869991)]",2
20F7276DCF73859A51B650AD394C0A752024-06-19,"[(8.970844807485243, 48.62523652284963), (9.172707522086618, 48.77719881985889), (9.17993280105378, 48.77943881811566), (9.231352735830757, 48.79164624253615)]","['bank', 'fast_food', 'restaurant', 'unknown']","[('Hildrizhausen', 'building', 'apartments', 115807716), ('Stuttgart', 'highway', 'pedestrian', 373776019), ('Stuttgart', 'leisure', 'outdoor_seating', 434738581), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
23AF86D62DCEA095965065DC4175AC5F2024-06-19,"[(9.354687889054958, 48.61787661618874), (9.373970557950186, 48.673901277813044), (9.231353705205683, 48.791857083231186)]","['unknown', 'ticket_validator', 'unknown']","[('Nürtingen', 'building', 'yes', 450271432), ('Wendlingen am Neckar', 'railway', 'stop', 3082376229), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
2668642F252FDA17F235D9EC2C62692A2024-07-05,"[(10.261249591108863, 50.03651958424082), (9.091530797431439, 48.820585754326146), (9.230712271208985, 48.791155560070735)]","['waste_basket', 'parking', 'parking']","[('Sennfeld', 'building', 'house', 1028418131), ('Stuttgart', 'building', 'yes', 55130628), ('Stuttgart', 'man_made', 'bridge', 1070620404)]",3
274352E8960E3B7108DECBB747B8B0BF2024-06-19,"[(8.887460555584907, 47.73709236493988), (9.190891158964497, 48.780756528781474), (9.231571940818599, 48.79305141981383), (9.179945864711685, 48.78189596989357), (9.178546606748377, 48.77838675869601)]","['unknown', 'charging_station', 'unknown', 'parking_entrance', 'bench']","[('Singen (Hohentwiel)', 'building', 'house', 302515226), ('Stuttgart', 'tourism', 'hostel', 108803069), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'place', 'house', 3150576769), ('Stuttgart', 'highway', 'pedestrian', 471870206)]",5
2DAA5AE6574DFDC2C499B6140AA94D022024-06-19,"[(9.052509652978213, 48.85842199886829), (9.026098024676324, 48.86412367826283), (9.191416777260999, 48.8067529626942), (9.231785330576743, 48.793191552637566)]","['unknown', 'restaurant', 'unknown', 'unknown']","[('Hemmingen', 'building', 'house', 44145998), ('Hemmingen', 'building', 'house', 224724564), ('Stuttgart', 'highway', 'primary', 349146923), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
30D7B5511D2CA092D1ABA76AA8D4D1EA2024-06-19,"[(9.011174747927607, 48.81865480264796), (9.025435142591144, 48.81724692858782), (9.191523178406088, 48.807110791538335), (9.223591603706891, 48.792504929382325), (9.23252668277949, 48.79248725080688)]","['unknown', 'charging_station', 'unknown', 'unknown', 'unknown']","[('Leonberg', 'building', 'apartments', 37546379), ('Leonberg', 'amenity', 'parking', 129957189), ('Stuttgart', 'highway', 'primary', 349146923), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
30D7B5511D2CA092D1ABA76AA8D4D1EA2024-07-05,"[(9.108217457020174, 48.908843894162835), (9.011174747927607, 48.81865480264796), (9.025222296231274, 48.816965783107136), (9.183764623430148, 48.809512963114734), (9.237633102101563, 48.79261739817402), (9.233162622763125, 48.79199400003161)]","['parking', 'unknown', 'charging_station', 'waste_basket', 'parking', 'unknown']","[('Markgröningen', 'amenity', 'hospital', 448415913), ('Leonberg', 'building', 'apartments', 37546379), ('Leonberg', 'building', 'apartments', 45754699), ('Stuttgart', 'junction', 'yes', 582531444), ('Stuttgart', 'highway', 'secondary', 349347713), ('Stuttgart', 'leisure', 'stadium', 3869991)]",6
340449D5FB2CC0E5DB2B4DC3A95BE23B2024-06-19,"[(8.839155777679755, 50.146410441548305), (8.85116650450645, 50.151907066876674), (8.841051398883483, 50.135311279672734), (9.248914625389148, 48.81536454844233), (9.231459750543877, 48.79178658945434)]","['unknown', 'unknown', 'driving_school', 'bench', 'unknown']","[('Hochstadt', 'building', 'yes', 193233002), ('Hochstadt', 'highway', 'tertiary', 23064881), ('Dörnigheim', 'building', 'yes', 88832083), ('Stuttgart', 'railway', 'platform', 48245574), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
