day,city,area_id,ncontacts_1,ncontacts_2
2024-04-29,Stuttgart,11.0,58,0
2024-04-29,Stuttgart,-1.0,716,0
2024-04-29,Frankfurt am Main,64.0,8,2
2024-04-29,Frankfurt am Main,4.0,8,0
2024-04-29,Frankfurt am Main,-1.0,824,0
2024-04-29,Hamburg,25.0,44,0
2024-04-29,Hamburg,29.0,48,0
2024-04-29,Hamburg,-1.0,3202,0
2024-04-29,München,1.0,8,0
2024-04-29,München,41.0,12,0
2024-04-29,München,45.0,14,0
2024-04-29,München,60.0,6,0
2024-04-29,München,-1.0,446,0
2024-04-29,Gelsenkirchen,28.0,52,0
2024-04-29,Gelsenkirchen,-1.0,1266,0
2024-04-29,Leipzig,3.0,22,0
2024-04-29,Leipzig,-1.0,2636,0
2024-04-29,Köln,51.0,26,0
2024-04-29,Köln,-1.0,1528,0
2024-04-29,Köln,15.0,4,0
2024-04-29,Berlin,16.0,32,0
2024-04-29,Berlin,2.0,14,0
2024-04-29,Berlin,40.0,28,0
2024-04-29,Berlin,-1.0,5492,0
2024-04-29,Dortmund,10.0,24,0
2024-04-29,Dortmund,-1.0,1298,0
2024-04-29,Dortmund,39.0,2,0
2024-04-29,Düsseldorf,-1.0,1142,0
2024-04-30,Stuttgart,11.0,254,0
2024-04-30,Stuttgart,-1.0,1000,0
2024-04-30,Frankfurt am Main,64.0,18,0
2024-04-30,Frankfurt am Main,4.0,14,0
2024-04-30,Frankfurt am Main,-1.0,1134,0
2024-04-30,Hamburg,25.0,10,0
2024-04-30,Hamburg,29.0,118,0
2024-04-30,Hamburg,-1.0,3672,0
2024-04-30,München,1.0,74,68
2024-04-30,München,41.0,58,0
2024-04-30,München,45.0,16,0
2024-04-30,München,60.0,2,0
2024-04-30,München,-1.0,588,0
2024-04-30,Gelsenkirchen,28.0,26,0
2024-04-30,Gelsenkirchen,-1.0,1514,0
2024-04-30,Leipzig,3.0,28,0
2024-04-30,Leipzig,-1.0,2576,0
2024-04-30,Köln,51.0,66,0
2024-04-30,Köln,-1.0,1974,0
2024-04-30,Berlin,16.0,44,0
2024-04-30,Berlin,2.0,2,0
2024-04-30,Berlin,40.0,16,0
2024-04-30,Berlin,-1.0,6226,0
2024-04-30,Dortmund,10.0,152,0
2024-04-30,Dortmund,-1.0,1514,0
2024-04-30,Dortmund,39.0,2,0
2024-04-30,Düsseldorf,-1.0,1218,0
2024-05-01,Stuttgart,11.0,88,0
2024-05-01,Stuttgart,-1.0,454,0
2024-05-01,Frankfurt am Main,64.0,4,0
2024-05-01,Frankfurt am Main,4.0,8,0
2024-05-01,Frankfurt am Main,-1.0,448,0
2024-05-01,Hamburg,25.0,6,0
2024-05-01,Hamburg,29.0,68,0
2024-05-01,Hamburg,-1.0,1406,0
2024-05-01,München,1.0,2,0
2024-05-01,München,45.0,12,2
2024-05-01,München,-1.0,258,0
2024-05-01,Gelsenkirchen,28.0,22,0
2024-05-01,Gelsenkirchen,-1.0,648,0
2024-05-01,Leipzig,3.0,184,0
2024-05-01,Leipzig,-1.0,1036,0
2024-05-01,Köln,51.0,12,0
2024-05-01,Köln,-1.0,790,0
2024-05-01,Berlin,16.0,22,0
2024-05-01,Berlin,2.0,2,0
