,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-28,1.0,2.0,15.0,18.0,35.0,45.0,31.0,22.0,53.0,82.0,28.0,48.0,70.0,102.0,54.0,71.0,31.0,24.0,16.0,3.0,5.0,1.0,1.0
2024-05-29,0.0,4.0,8.0,22.0,51.0,38.0,43.0,35.0,36.0,50.0,51.0,46.0,54.0,89.0,70.0,73.0,50.0,30.0,18.0,19.0,7.0,7.0,4.0
2024-05-30,3.0,3.0,5.0,6.0,6.0,15.0,17.0,19.0,32.0,38.0,52.0,26.0,42.0,39.0,42.0,38.0,26.0,12.0,13.0,8.0,2.0,1.0,2.0
2024-05-31,0.0,1.0,6.0,17.0,19.0,16.0,40.0,36.0,54.0,73.0,59.0,77.0,76.0,59.0,67.0,58.0,113.0,31.0,60.0,31.0,35.0,6.0,6.0
2024-06-01,0.0,3.0,8.0,3.0,10.0,32.0,37.0,41.0,28.0,55.0,52.0,66.0,80.0,76.0,63.0,66.0,40.0,36.0,23.0,25.0,9.0,8.0,7.0
2024-06-02,3.0,1.0,5.0,3.0,8.0,6.0,12.0,34.0,32.0,42.0,23.0,42.0,50.0,69.0,47.0,58.0,28.0,36.0,11.0,11.0,1.0,3.0,1.0
2024-06-03,0.0,2.0,12.0,21.0,70.0,73.0,33.0,31.0,36.0,46.0,50.0,39.0,55.0,96.0,65.0,31.0,14.0,14.0,12.0,8.0,4.0,0.0,3.0
2024-06-04,1.0,4.0,9.0,35.0,64.0,97.0,48.0,50.0,45.0,56.0,53.0,47.0,63.0,82.0,97.0,42.0,20.0,17.0,17.0,5.0,3.0,0.0,2.0
2024-06-05,0.0,1.0,4.0,34.0,56.0,84.0,51.0,46.0,46.0,44.0,36.0,45.0,89.0,82.0,95.0,57.0,33.0,14.0,17.0,5.0,8.0,0.0,0.0
2024-06-06,3.0,6.0,11.0,36.0,52.0,74.0,63.0,49.0,32.0,54.0,51.0,53.0,104.0,96.0,56.0,50.0,47.0,26.0,19.0,10.0,7.0,2.0,3.0
2024-06-07,1.0,5.0,14.0,26.0,46.0,42.0,67.0,40.0,30.0,48.0,60.0,57.0,87.0,61.0,72.0,49.0,28.0,31.0,21.0,16.0,15.0,7.0,0.0
2024-06-08,1.0,2.0,1.0,2.0,12.0,17.0,33.0,57.0,40.0,66.0,61.0,63.0,53.0,45.0,84.0,44.0,34.0,18.0,10.0,8.0,11.0,13.0,3.0
2024-06-09,2.0,4.0,3.0,8.0,5.0,7.0,12.0,15.0,32.0,46.0,34.0,29.0,40.0,44.0,51.0,22.0,17.0,20.0,9.0,10.0,8.0,2.0,2.0
2024-06-10,2.0,1.0,18.0,42.0,57.0,47.0,38.0,37.0,39.0,40.0,61.0,47.0,79.0,89.0,52.0,56.0,31.0,16.0,15.0,7.0,10.0,1.0,1.0
2024-06-11,1.0,5.0,13.0,27.0,83.0,89.0,49.0,51.0,52.0,73.0,59.0,66.0,95.0,82.0,132.0,49.0,21.0,29.0,19.0,10.0,3.0,1.0,0.0
2024-06-12,0.0,1.0,15.0,40.0,59.0,101.0,48.0,42.0,28.0,59.0,42.0,74.0,104.0,112.0,115.0,61.0,28.0,15.0,11.0,9.0,4.0,4.0,3.0
2024-06-13,0.0,0.0,19.0,24.0,71.0,67.0,65.0,69.0,47.0,40.0,40.0,56.0,102.0,101.0,94.0,63.0,37.0,49.0,24.0,23.0,11.0,5.0,1.0
2024-06-14,0.0,5.0,22.0,23.0,30.0,41.0,39.0,48.0,63.0,65.0,68.0,86.0,117.0,115.0,70.0,87.0,40.0,13.0,22.0,8.0,18.0,11.0,3.0
2024-06-15,3.0,7.0,4.0,5.0,6.0,16.0,33.0,21.0,45.0,62.0,42.0,61.0,48.0,39.0,36.0,42.0,49.0,22.0,20.0,15.0,22.0,14.0,5.0
2024-06-16,2.0,4.0,6.0,7.0,1.0,7.0,15.0,18.0,20.0,47.0,74.0,53.0,58.0,50.0,137.0,40.0,33.0,12.0,19.0,9.0,7.0,2.0,0.0
2024-06-17,0.0,2.0,7.0,57.0,113.0,54.0,59.0,36.0,56.0,53.0,52.0,36.0,74.0,84.0,74.0,39.0,39.0,22.0,20.0,7.0,6.0,1.0,1.0
2024-06-18,1.0,0.0,11.0,18.0,61.0,75.0,47.0,40.0,60.0,47.0,63.0,40.0,88.0,97.0,94.0,58.0,23.0,23.0,25.0,9.0,9.0,3.0,0.0
2024-06-19,0.0,3.0,4.0,28.0,85.0,56.0,40.0,53.0,55.0,55.0,58.0,81.0,109.0,283.0,300.0,107.0,104.0,127.0,31.0,21.0,7.0,3.0,2.0
2024-06-20,3.0,3.0,12.0,23.0,85.0,122.0,84.0,53.0,73.0,68.0,59.0,74.0,83.0,97.0,98.0,60.0,46.0,33.0,17.0,10.0,12.0,5.0,2.0
2024-06-21,0.0,4.0,4.0,19.0,50.0,38.0,78.0,48.0,43.0,73.0,60.0,66.0,68.0,76.0,75.0,46.0,29.0,23.0,14.0,17.0,9.0,6.0,3.0
2024-06-22,1.0,4.0,1.0,3.0,16.0,22.0,34.0,41.0,49.0,60.0,47.0,95.0,77.0,92.0,75.0,32.0,29.0,16.0,22.0,16.0,21.0,17.0,5.0
2024-06-23,7.0,10.0,3.0,2.0,5.0,9.0,22.0,34.0,27.0,32.0,38.0,32.0,49.0,62.0,56.0,76.0,40.0,35.0,34.0,24.0,19.0,5.0,3.0
2024-06-24,5.0,3.0,19.0,42.0,71.0,72.0,34.0,33.0,34.0,46.0,48.0,37.0,98.0,72.0,54.0,37.0,26.0,23.0,5.0,9.0,6.0,6.0,5.0
2024-06-25,0.0,4.0,11.0,31.0,74.0,72.0,55.0,47.0,33.0,39.0,41.0,45.0,79.0,69.0,79.0,43.0,21.0,22.0,14.0,7.0,5.0,1.0,4.0
2024-06-26,1.0,5.0,19.0,46.0,64.0,59.0,42.0,33.0,44.0,30.0,49.0,62.0,80.0,134.0,214.0,111.0,67.0,43.0,12.0,6.0,4.0,2.0,2.0
2024-06-27,1.0,3.0,24.0,32.0,81.0,92.0,74.0,74.0,61.0,95.0,72.0,62.0,108.0,98.0,79.0,65.0,51.0,27.0,15.0,15.0,0.0,4.0,1.0
2024-06-28,3.0,4.0,15.0,25.0,45.0,61.0,51.0,46.0,54.0,73.0,66.0,106.0,125.0,94.0,77.0,50.0,46.0,22.0,31.0,14.0,20.0,3.0,4.0
2024-06-29,3.0,4.0,10.0,6.0,11.0,13.0,27.0,42.0,40.0,64.0,50.0,43.0,30.0,47.0,72.0,51.0,43.0,50.0,32.0,13.0,23.0,31.0,4.0
2024-06-30,4.0,2.0,2.0,6.0,3.0,9.0,12.0,36.0,29.0,62.0,58.0,37.0,44.0,49.0,49.0,37.0,21.0,22.0,14.0,10.0,7.0,2.0,4.0
2024-07-01,3.0,3.0,10.0,29.0,61.0,62.0,61.0,42.0,40.0,57.0,49.0,47.0,62.0,79.0,51.0,53.0,45.0,28.0,23.0,16.0,12.0,4.0,3.0
2024-07-02,4.0,7.0,11.0,24.0,56.0,61.0,71.0,38.0,52.0,60.0,60.0,49.0,84.0,100.0,101.0,41.0,30.0,10.0,10.0,13.0,8.0,8.0,2.0
2024-07-03,1.0,6.0,7.0,29.0,72.0,64.0,47.0,24.0,29.0,35.0,53.0,43.0,67.0,110.0,82.0,65.0,27.0,28.0,19.0,14.0,6.0,1.0,0.0
2024-07-04,2.0,1.0,6.0,33.0,80.0,63.0,50.0,28.0,41.0,41.0,43.0,40.0,80.0,93.0,67.0,74.0,35.0,23.0,15.0,15.0,11.0,2.0,2.0
2024-07-05,1.0,0.0,5.0,15.0,22.0,32.0,45.0,31.0,57.0,58.0,59.0,47.0,99.0,221.0,272.0,80.0,63.0,90.0,55.0,19.0,26.0,8.0,2.0
2024-07-06,1.0,6.0,6.0,4.0,8.0,17.0,30.0,38.0,49.0,60.0,65.0,73.0,38.0,43.0,44.0,50.0,30.0,36.0,22.0,10.0,17.0,6.0,4.0
2024-07-07,5.0,3.0,5.0,5.0,1.0,10.0,15.0,24.0,34.0,43.0,46.0,36.0,45.0,58.0,51.0,50.0,37.0,24.0,15.0,7.0,3.0,4.0,1.0
2024-07-08,3.0,9.0,21.0,36.0,49.0,55.0,56.0,39.0,37.0,39.0,40.0,44.0,76.0,69.0,97.0,55.0,17.0,16.0,11.0,8.0,6.0,5.0,2.0
2024-07-09,0.0,2.0,11.0,29.0,45.0,71.0,68.0,43.0,42.0,60.0,64.0,68.0,123.0,113.0,75.0,68.0,17.0,17.0,10.0,8.0,4.0,3.0,2.0
2024-07-10,1.0,2.0,13.0,22.0,62.0,72.0,53.0,45.0,51.0,67.0,37.0,42.0,83.0,110.0,89.0,62.0,32.0,19.0,9.0,8.0,6.0,2.0,3.0
2024-07-11,3.0,3.0,16.0,21.0,66.0,95.0,37.0,33.0,38.0,78.0,63.0,48.0,78.0,149.0,146.0,97.0,76.0,66.0,43.0,35.0,16.0,1.0,2.0
2024-07-12,1.0,3.0,13.0,11.0,31.0,41.0,53.0,53.0,71.0,65.0,57.0,53.0,69.0,89.0,66.0,70.0,24.0,18.0,10.0,8.0,13.0,5.0,10.0
2024-07-13,2.0,1.0,3.0,7.0,13.0,23.0,19.0,43.0,66.0,76.0,84.0,79.0,64.0,91.0,92.0,56.0,54.0,37.0,15.0,20.0,21.0,14.0,3.0
2024-07-14,3.0,4.0,3.0,6.0,5.0,20.0,27.0,39.0,32.0,31.0,35.0,39.0,24.0,51.0,42.0,59.0,33.0,18.0,12.0,14.0,7.0,1.0,2.0
2024-07-15,0.0,0.0,11.0,42.0,67.0,58.0,53.0,42.0,44.0,55.0,52.0,43.0,60.0,98.0,135.0,237.0,262.0,106.0,228.0,50.0,8.0,2.0,0.0
2024-07-16,2.0,6.0,12.0,25.0,61.0,89.0,75.0,52.0,59.0,58.0,52.0,57.0,104.0,142.0,114.0,243.0,156.0,110.0,141.0,48.0,12.0,7.0,3.0
2024-07-17,0.0,4.0,8.0,25.0,65.0,94.0,41.0,36.0,50.0,47.0,70.0,67.0,159.0,253.0,432.0,512.0,516.0,729.0,421.0,450.0,75.0,3.0,0.0
2024-07-18,0.0,1.0,6.0,33.0,64.0,97.0,54.0,43.0,49.0,46.0,46.0,68.0,68.0,62.0,78.0,56.0,29.0,28.0,17.0,17.0,14.0,5.0,4.0
2024-07-19,1.0,5.0,12.0,26.0,47.0,58.0,48.0,89.0,45.0,96.0,62.0,68.0,81.0,86.0,164.0,214.0,171.0,134.0,114.0,95.0,42.0,17.0,8.0
2024-07-20,3.0,6.0,5.0,13.0,17.0,27.0,48.0,58.0,61.0,51.0,91.0,87.0,85.0,68.0,72.0,85.0,73.0,53.0,40.0,37.0,24.0,11.0,7.0
2024-07-21,6.0,5.0,10.0,6.0,7.0,12.0,22.0,19.0,23.0,43.0,31.0,32.0,33.0,46.0,48.0,40.0,27.0,40.0,17.0,12.0,7.0,4.0,0.0
2024-07-22,1.0,3.0,8.0,27.0,70.0,72.0,52.0,40.0,49.0,51.0,79.0,70.0,102.0,110.0,71.0,52.0,40.0,18.0,3.0,5.0,4.0,3.0,2.0
2024-07-23,1.0,2.0,5.0,32.0,86.0,94.0,75.0,62.0,41.0,54.0,52.0,56.0,91.0,69.0,82.0,64.0,25.0,17.0,21.0,12.0,8.0,3.0,0.0
2024-07-24,0.0,4.0,10.0,38.0,66.0,75.0,41.0,23.0,47.0,50.0,66.0,63.0,115.0,89.0,137.0,49.0,25.0,25.0,16.0,13.0,9.0,2.0,1.0
2024-07-25,1.0,1.0,11.0,29.0,65.0,60.0,62.0,33.0,32.0,60.0,47.0,53.0,168.0,109.0,73.0,60.0,46.0,23.0,17.0,21.0,17.0,2.0,0.0
2024-07-26,1.0,1.0,9.0,23.0,34.0,47.0,42.0,44.0,39.0,45.0,87.0,71.0,79.0,77.0,56.0,59.0,35.0,10.0,15.0,7.0,12.0,15.0,4.0
2024-07-27,2.0,4.0,5.0,4.0,8.0,19.0,29.0,56.0,52.0,62.0,63.0,96.0,84.0,102.0,85.0,57.0,57.0,44.0,28.0,15.0,20.0,6.0,3.0
2024-07-28,7.0,6.0,5.0,4.0,5.0,18.0,29.0,21.0,39.0,27.0,52.0,65.0,52.0,35.0,49.0,26.0,38.0,16.0,13.0,6.0,7.0,2.0,1.0
2024-07-29,2.0,4.0,9.0,32.0,53.0,51.0,56.0,47.0,44.0,49.0,24.0,33.0,53.0,71.0,41.0,48.0,25.0,10.0,6.0,4.0,2.0,1.0,1.0
2024-07-30,0.0,2.0,8.0,22.0,47.0,56.0,68.0,29.0,49.0,37.0,52.0,27.0,58.0,134.0,77.0,59.0,22.0,19.0,14.0,6.0,4.0,0.0,0.0
