,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-06-01,0.0,0.0,1.0,3.0,4.0,11.0,21.0,17.0,44.0,45.0,49.0,35.0,25.0,20.0,29.0,28.0,6.0,11.0,9.0,7.0,5.0,3.0,0.0
2024-06-02,0.0,1.0,1.0,0.0,2.0,7.0,17.0,21.0,28.0,29.0,18.0,22.0,14.0,31.0,38.0,31.0,32.0,13.0,18.0,8.0,4.0,2.0,1.0
2024-06-03,0.0,2.0,4.0,20.0,31.0,33.0,24.0,39.0,40.0,44.0,18.0,21.0,36.0,64.0,41.0,23.0,20.0,6.0,4.0,7.0,2.0,2.0,3.0
2024-06-04,0.0,3.0,2.0,10.0,10.0,33.0,42.0,30.0,24.0,39.0,34.0,34.0,47.0,51.0,76.0,29.0,10.0,19.0,7.0,6.0,7.0,1.0,0.0
2024-06-05,0.0,0.0,3.0,14.0,22.0,51.0,36.0,31.0,17.0,18.0,27.0,25.0,30.0,40.0,63.0,44.0,15.0,16.0,7.0,7.0,2.0,1.0,1.0
2024-06-06,0.0,1.0,4.0,9.0,57.0,22.0,29.0,28.0,22.0,30.0,30.0,23.0,37.0,47.0,56.0,52.0,25.0,24.0,19.0,8.0,5.0,4.0,1.0
2024-06-07,0.0,1.0,4.0,10.0,25.0,34.0,18.0,21.0,19.0,38.0,47.0,40.0,41.0,52.0,59.0,27.0,19.0,5.0,12.0,9.0,5.0,1.0,1.0
2024-06-08,2.0,0.0,3.0,1.0,12.0,14.0,38.0,40.0,41.0,54.0,56.0,39.0,50.0,37.0,51.0,42.0,48.0,27.0,31.0,15.0,6.0,7.0,2.0
2024-06-09,2.0,1.0,0.0,7.0,5.0,17.0,16.0,16.0,37.0,35.0,39.0,36.0,46.0,51.0,67.0,119.0,80.0,60.0,75.0,53.0,30.0,2.0,1.0
2024-06-10,1.0,1.0,5.0,17.0,27.0,42.0,85.0,29.0,35.0,31.0,44.0,17.0,56.0,45.0,38.0,35.0,21.0,14.0,15.0,9.0,4.0,3.0,1.0
2024-06-11,1.0,0.0,3.0,17.0,28.0,43.0,45.0,44.0,30.0,41.0,38.0,40.0,62.0,71.0,51.0,28.0,10.0,8.0,4.0,8.0,5.0,2.0,2.0
