,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-06-01,2.0,2.0,2.0,1.0,7.0,25.0,43.0,67.0,44.0,55.0,72.0,89.0,83.0,44.0,54.0,38.0,23.0,25.0,19.0,13.0,7.0,8.0,8.0
2024-06-02,3.0,3.0,3.0,6.0,2.0,10.0,15.0,25.0,43.0,78.0,27.0,44.0,44.0,53.0,44.0,43.0,21.0,16.0,15.0,3.0,7.0,4.0,2.0
2024-06-03,1.0,5.0,6.0,21.0,75.0,49.0,40.0,53.0,51.0,53.0,42.0,83.0,101.0,120.0,128.0,66.0,38.0,44.0,26.0,13.0,9.0,4.0,3.0
2024-06-04,1.0,3.0,21.0,26.0,62.0,57.0,54.0,48.0,40.0,60.0,44.0,61.0,95.0,101.0,106.0,64.0,43.0,30.0,11.0,13.0,6.0,0.0,0.0
2024-06-05,2.0,2.0,8.0,15.0,72.0,26.0,35.0,39.0,55.0,48.0,42.0,69.0,74.0,112.0,95.0,69.0,50.0,39.0,20.0,7.0,8.0,6.0,1.0
2024-06-06,1.0,3.0,15.0,16.0,45.0,48.0,42.0,55.0,57.0,69.0,66.0,84.0,108.0,109.0,108.0,78.0,38.0,32.0,20.0,5.0,12.0,1.0,2.0
2024-06-07,1.0,0.0,5.0,25.0,48.0,38.0,50.0,37.0,52.0,53.0,60.0,78.0,79.0,110.0,70.0,76.0,57.0,37.0,19.0,16.0,9.0,3.0,5.0
2024-06-08,0.0,0.0,4.0,7.0,11.0,34.0,55.0,73.0,79.0,58.0,70.0,49.0,40.0,41.0,75.0,56.0,69.0,53.0,32.0,22.0,21.0,6.0,2.0
2024-06-09,1.0,1.0,3.0,4.0,8.0,14.0,39.0,26.0,27.0,39.0,51.0,20.0,32.0,42.0,47.0,42.0,23.0,23.0,17.0,10.0,7.0,7.0,2.0
2024-06-10,3.0,2.0,9.0,21.0,48.0,50.0,60.0,23.0,37.0,41.0,38.0,50.0,89.0,79.0,72.0,56.0,41.0,24.0,8.0,11.0,11.0,5.0,2.0
2024-06-11,2.0,3.0,15.0,13.0,62.0,48.0,56.0,42.0,48.0,55.0,67.0,55.0,65.0,79.0,62.0,89.0,30.0,35.0,15.0,6.0,11.0,1.0,2.0
2024-06-12,2.0,3.0,17.0,17.0,68.0,51.0,55.0,38.0,90.0,41.0,57.0,67.0,60.0,100.0,57.0,43.0,28.0,39.0,16.0,14.0,9.0,5.0,1.0
2024-06-13,1.0,2.0,11.0,17.0,51.0,49.0,47.0,30.0,68.0,58.0,49.0,64.0,81.0,165.0,102.0,63.0,56.0,15.0,13.0,12.0,8.0,5.0,0.0
2024-06-14,1.0,3.0,7.0,25.0,58.0,28.0,44.0,60.0,53.0,69.0,93.0,97.0,104.0,90.0,101.0,74.0,34.0,25.0,21.0,9.0,15.0,7.0,3.0
2024-06-15,0.0,2.0,4.0,4.0,12.0,15.0,33.0,45.0,84.0,69.0,96.0,67.0,44.0,43.0,68.0,45.0,36.0,34.0,23.0,23.0,11.0,5.0,9.0
2024-06-16,4.0,2.0,4.0,9.0,14.0,14.0,26.0,31.0,46.0,39.0,38.0,43.0,51.0,56.0,61.0,41.0,42.0,48.0,36.0,14.0,19.0,9.0,9.0
2024-06-17,4.0,3.0,7.0,29.0,68.0,58.0,37.0,37.0,55.0,50.0,36.0,23.0,74.0,135.0,74.0,78.0,32.0,28.0,25.0,11.0,7.0,7.0,3.0
2024-06-18,1.0,4.0,10.0,37.0,44.0,48.0,47.0,22.0,35.0,56.0,76.0,59.0,68.0,76.0,82.0,38.0,41.0,39.0,23.0,14.0,4.0,7.0,2.0
2024-06-19,3.0,3.0,6.0,28.0,82.0,43.0,46.0,38.0,48.0,50.0,68.0,69.0,89.0,90.0,95.0,32.0,19.0,24.0,18.0,19.0,8.0,3.0,6.0
2024-06-20,3.0,1.0,15.0,20.0,66.0,59.0,44.0,45.0,41.0,51.0,43.0,68.0,108.0,84.0,79.0,62.0,70.0,101.0,37.0,34.0,29.0,9.0,6.0
2024-06-21,3.0,0.0,11.0,25.0,53.0,49.0,40.0,37.0,54.0,78.0,83.0,69.0,86.0,94.0,80.0,65.0,30.0,32.0,17.0,15.0,7.0,1.0,2.0
2024-06-22,1.0,0.0,0.0,13.0,12.0,28.0,76.0,54.0,74.0,69.0,67.0,45.0,57.0,48.0,75.0,66.0,34.0,47.0,18.0,17.0,6.0,6.0,3.0
2024-06-23,2.0,1.0,1.0,4.0,6.0,17.0,24.0,26.0,35.0,44.0,39.0,36.0,41.0,28.0,40.0,33.0,36.0,29.0,23.0,8.0,10.0,1.0,0.0
2024-06-24,3.0,5.0,14.0,25.0,43.0,40.0,30.0,40.0,34.0,32.0,36.0,55.0,83.0,137.0,86.0,75.0,28.0,26.0,13.0,14.0,6.0,4.0,4.0
2024-06-25,2.0,0.0,10.0,34.0,44.0,55.0,51.0,49.0,37.0,43.0,44.0,51.0,62.0,79.0,93.0,65.0,38.0,18.0,16.0,10.0,7.0,2.0,3.0
2024-06-26,2.0,3.0,8.0,12.0,54.0,55.0,64.0,48.0,43.0,44.0,71.0,56.0,95.0,107.0,87.0,109.0,78.0,100.0,44.0,41.0,41.0,10.0,7.0
2024-06-27,2.0,6.0,9.0,21.0,56.0,54.0,56.0,51.0,52.0,58.0,39.0,72.0,55.0,95.0,69.0,54.0,48.0,35.0,23.0,15.0,3.0,6.0,1.0
