,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-28,8.0,11.0,100.0,268.0,303.0,437.0,426.0,273.0,353.0,401.0,442.0,406.0,512.0,439.0,495.0,338.0,177.0,133.0,75.0,55.0,36.0,11.0,4.0
2024-05-29,7.0,23.0,100.0,165.0,303.0,390.0,297.0,285.0,301.0,377.0,400.0,438.0,602.0,509.0,464.0,358.0,234.0,193.0,105.0,59.0,51.0,22.0,13.0
2024-05-30,12.0,22.0,135.0,227.0,333.0,396.0,340.0,402.0,444.0,457.0,421.0,510.0,632.0,597.0,567.0,406.0,373.0,237.0,140.0,100.0,62.0,36.0,7.0
2024-05-31,12.0,32.0,130.0,165.0,316.0,255.0,327.0,381.0,444.0,527.0,479.0,604.0,682.0,545.0,472.0,438.0,313.0,188.0,201.0,140.0,142.0,73.0,37.0
2024-06-01,13.0,13.0,18.0,33.0,66.0,111.0,210.0,254.0,378.0,342.0,441.0,475.0,684.0,600.0,559.0,564.0,482.0,441.0,338.0,225.0,132.0,90.0,46.0
2024-06-02,27.0,25.0,14.0,18.0,30.0,53.0,99.0,129.0,143.0,197.0,242.0,251.0,314.0,249.0,249.0,229.0,156.0,127.0,80.0,81.0,28.0,20.0,5.0
2024-06-03,11.0,26.0,114.0,276.0,328.0,366.0,327.0,267.0,313.0,374.0,332.0,374.0,612.0,496.0,419.0,422.0,185.0,140.0,83.0,79.0,45.0,20.0,11.0
2024-06-04,7.0,27.0,156.0,249.0,374.0,449.0,410.0,315.0,370.0,409.0,374.0,382.0,516.0,641.0,409.0,328.0,186.0,147.0,78.0,57.0,45.0,22.0,13.0
2024-06-05,9.0,31.0,146.0,250.0,354.0,292.0,337.0,321.0,332.0,485.0,388.0,478.0,522.0,534.0,498.0,381.0,232.0,172.0,99.0,91.0,50.0,13.0,16.0
2024-06-06,4.0,30.0,125.0,272.0,309.0,396.0,376.0,281.0,374.0,393.0,389.0,511.0,562.0,654.0,601.0,399.0,320.0,149.0,132.0,112.0,74.0,40.0,20.0
2024-06-07,5.0,37.0,111.0,179.0,272.0,310.0,342.0,328.0,351.0,522.0,511.0,552.0,564.0,472.0,466.0,397.0,311.0,147.0,119.0,115.0,63.0,48.0,22.0
2024-06-08,6.0,12.0,27.0,52.0,56.0,114.0,280.0,299.0,292.0,304.0,395.0,347.0,344.0,362.0,321.0,333.0,337.0,308.0,177.0,163.0,134.0,50.0,30.0
2024-06-09,13.0,15.0,15.0,31.0,38.0,101.0,143.0,113.0,228.0,292.0,297.0,247.0,231.0,299.0,358.0,376.0,255.0,168.0,144.0,79.0,37.0,22.0,16.0
2024-06-10,10.0,21.0,138.0,177.0,363.0,526.0,445.0,325.0,307.0,347.0,378.0,484.0,630.0,601.0,455.0,402.0,279.0,195.0,144.0,120.0,47.0,35.0,12.0
2024-06-11,10.0,24.0,148.0,203.0,354.0,421.0,378.0,375.0,350.0,397.0,403.0,565.0,606.0,641.0,444.0,403.0,187.0,141.0,114.0,67.0,32.0,11.0,14.0
2024-06-12,5.0,23.0,133.0,230.0,414.0,433.0,455.0,367.0,290.0,354.0,441.0,447.0,527.0,593.0,437.0,339.0,259.0,152.0,107.0,78.0,64.0,22.0,17.0
2024-06-13,11.0,27.0,111.0,200.0,362.0,345.0,391.0,296.0,399.0,377.0,350.0,529.0,558.0,606.0,464.0,312.0,186.0,129.0,102.0,102.0,56.0,18.0,22.0
2024-06-14,12.0,15.0,58.0,187.0,296.0,355.0,264.0,287.0,357.0,474.0,556.0,476.0,560.0,492.0,337.0,332.0,319.0,237.0,173.0,100.0,122.0,47.0,30.0
2024-06-15,9.0,21.0,9.0,31.0,57.0,120.0,207.0,247.0,341.0,341.0,321.0,422.0,374.0,307.0,354.0,257.0,261.0,225.0,178.0,157.0,94.0,42.0,26.0
2024-06-16,14.0,11.0,23.0,26.0,24.0,64.0,108.0,137.0,172.0,186.0,175.0,258.0,151.0,216.0,257.0,154.0,150.0,138.0,100.0,46.0,62.0,23.0,11.0
2024-06-17,8.0,33.0,143.0,262.0,346.0,463.0,355.0,263.0,339.0,379.0,381.0,369.0,516.0,492.0,414.0,236.0,159.0,177.0,85.0,52.0,34.0,21.0,14.0
2024-06-18,5.0,37.0,133.0,227.0,296.0,390.0,339.0,343.0,393.0,473.0,356.0,372.0,533.0,470.0,436.0,309.0,151.0,167.0,91.0,58.0,38.0,15.0,14.0
2024-06-19,11.0,22.0,112.0,274.0,338.0,371.0,319.0,252.0,309.0,371.0,311.0,351.0,429.0,556.0,459.0,196.0,122.0,119.0,102.0,65.0,46.0,21.0,9.0
2024-06-20,6.0,16.0,127.0,212.0,302.0,371.0,372.0,265.0,342.0,346.0,394.0,417.0,503.0,568.0,344.0,389.0,210.0,203.0,109.0,75.0,37.0,24.0,16.0
2024-06-21,7.0,21.0,104.0,184.0,290.0,307.0,341.0,279.0,316.0,409.0,448.0,593.0,559.0,434.0,386.0,318.0,232.0,178.0,111.0,71.0,98.0,41.0,23.0
2024-06-22,11.0,7.0,14.0,18.0,44.0,101.0,157.0,229.0,220.0,303.0,410.0,327.0,257.0,294.0,303.0,261.0,213.0,162.0,127.0,129.0,99.0,73.0,38.0
2024-06-23,6.0,11.0,19.0,21.0,22.0,58.0,90.0,138.0,157.0,275.0,285.0,244.0,212.0,204.0,246.0,234.0,171.0,157.0,103.0,59.0,58.0,36.0,17.0
2024-06-24,7.0,21.0,166.0,192.0,316.0,424.0,305.0,352.0,311.0,340.0,370.0,478.0,569.0,376.0,337.0,299.0,160.0,121.0,75.0,60.0,39.0,25.0,8.0
2024-06-25,10.0,17.0,163.0,283.0,332.0,314.0,300.0,289.0,326.0,351.0,360.0,500.0,581.0,625.0,412.0,261.0,161.0,139.0,93.0,92.0,65.0,22.0,13.0
2024-06-26,6.0,27.0,172.0,214.0,321.0,388.0,441.0,313.0,315.0,293.0,334.0,482.0,454.0,460.0,383.0,311.0,203.0,161.0,112.0,100.0,61.0,32.0,22.0
2024-06-27,13.0,40.0,143.0,196.0,387.0,413.0,384.0,309.0,337.0,449.0,373.0,494.0,508.0,526.0,332.0,322.0,228.0,203.0,132.0,100.0,72.0,36.0,20.0
2024-06-28,9.0,23.0,122.0,167.0,292.0,260.0,408.0,317.0,345.0,522.0,509.0,446.0,530.0,501.0,373.0,386.0,250.0,169.0,130.0,206.0,87.0,46.0,34.0
2024-06-29,29.0,11.0,17.0,39.0,71.0,149.0,216.0,308.0,245.0,377.0,415.0,281.0,279.0,368.0,384.0,295.0,303.0,297.0,168.0,103.0,132.0,122.0,42.0
2024-06-30,17.0,6.0,18.0,18.0,46.0,28.0,70.0,117.0,130.0,231.0,234.0,224.0,210.0,191.0,236.0,201.0,158.0,124.0,67.0,48.0,37.0,21.0,11.0
2024-07-01,7.0,26.0,107.0,230.0,313.0,314.0,359.0,273.0,371.0,356.0,413.0,446.0,540.0,695.0,539.0,268.0,163.0,117.0,74.0,53.0,48.0,21.0,19.0
2024-07-02,2.0,24.0,192.0,240.0,359.0,401.0,345.0,280.0,309.0,327.0,393.0,544.0,608.0,667.0,566.0,357.0,204.0,107.0,83.0,61.0,69.0,45.0,20.0
2024-07-03,8.0,24.0,92.0,235.0,388.0,434.0,312.0,326.0,336.0,314.0,396.0,417.0,624.0,623.0,464.0,396.0,178.0,142.0,85.0,85.0,54.0,28.0,19.0
2024-07-04,10.0,24.0,153.0,212.0,351.0,388.0,413.0,362.0,333.0,462.0,348.0,361.0,587.0,640.0,590.0,503.0,271.0,248.0,168.0,81.0,61.0,23.0,11.0
2024-07-05,12.0,12.0,109.0,253.0,279.0,269.0,310.0,288.0,439.0,504.0,625.0,513.0,670.0,513.0,419.0,248.0,123.0,83.0,156.0,108.0,68.0,74.0,24.0
2024-07-06,21.0,28.0,25.0,38.0,43.0,113.0,190.0,290.0,311.0,314.0,343.0,386.0,243.0,394.0,418.0,297.0,304.0,220.0,197.0,126.0,133.0,103.0,29.0
2024-07-07,18.0,23.0,16.0,23.0,28.0,34.0,134.0,199.0,199.0,213.0,257.0,194.0,183.0,224.0,314.0,257.0,226.0,169.0,85.0,62.0,45.0,16.0,12.0
2024-07-08,5.0,26.0,156.0,267.0,319.0,403.0,425.0,394.0,365.0,403.0,375.0,469.0,581.0,493.0,432.0,362.0,174.0,162.0,95.0,79.0,44.0,17.0,6.0
2024-07-09,3.0,25.0,165.0,247.0,360.0,447.0,336.0,314.0,362.0,439.0,363.0,391.0,593.0,585.0,517.0,448.0,339.0,230.0,185.0,74.0,62.0,30.0,11.0
2024-07-10,8.0,24.0,156.0,207.0,330.0,401.0,381.0,288.0,350.0,320.0,351.0,493.0,542.0,455.0,436.0,313.0,236.0,156.0,96.0,76.0,35.0,16.0,9.0
2024-07-11,8.0,26.0,78.0,166.0,348.0,389.0,369.0,295.0,406.0,406.0,424.0,558.0,672.0,520.0,474.0,344.0,217.0,186.0,130.0,102.0,58.0,14.0,26.0
2024-07-12,10.0,21.0,108.0,147.0,307.0,272.0,350.0,343.0,393.0,519.0,432.0,506.0,514.0,486.0,387.0,387.0,197.0,144.0,119.0,117.0,73.0,51.0,21.0
2024-07-13,8.0,15.0,24.0,37.0,40.0,108.0,179.0,301.0,300.0,460.0,475.0,420.0,370.0,449.0,397.0,460.0,281.0,456.0,231.0,251.0,123.0,62.0,37.0
2024-07-14,10.0,9.0,9.0,17.0,29.0,67.0,115.0,121.0,218.0,330.0,256.0,390.0,313.0,255.0,309.0,385.0,318.0,163.0,94.0,48.0,91.0,57.0,28.0
2024-07-15,10.0,24.0,86.0,206.0,386.0,343.0,306.0,309.0,264.0,482.0,341.0,468.0,587.0,486.0,372.0,248.0,159.0,142.0,90.0,65.0,58.0,25.0,12.0
2024-07-16,7.0,16.0,104.0,217.0,321.0,334.0,308.0,334.0,385.0,386.0,390.0,387.0,545.0,603.0,402.0,373.0,198.0,118.0,110.0,60.0,53.0,28.0,7.0
2024-07-17,7.0,16.0,105.0,255.0,401.0,378.0,320.0,273.0,390.0,359.0,411.0,429.0,584.0,515.0,438.0,335.0,228.0,144.0,101.0,59.0,49.0,19.0,19.0
2024-07-18,7.0,16.0,122.0,259.0,291.0,350.0,341.0,353.0,339.0,373.0,447.0,514.0,548.0,525.0,507.0,340.0,230.0,189.0,160.0,72.0,61.0,13.0,11.0
2024-07-19,9.0,22.0,66.0,208.0,213.0,206.0,319.0,356.0,382.0,385.0,516.0,469.0,487.0,427.0,439.0,385.0,225.0,190.0,126.0,94.0,67.0,33.0,23.0
2024-07-20,8.0,17.0,29.0,47.0,51.0,136.0,256.0,292.0,330.0,373.0,302.0,378.0,288.0,273.0,278.0,250.0,182.0,226.0,170.0,121.0,83.0,54.0,33.0
2024-07-21,11.0,10.0,13.0,28.0,33.0,76.0,151.0,187.0,223.0,333.0,207.0,208.0,142.0,199.0,196.0,173.0,136.0,173.0,67.0,63.0,35.0,20.0,13.0
2024-07-22,7.0,18.0,71.0,148.0,260.0,250.0,260.0,290.0,306.0,386.0,324.0,355.0,451.0,445.0,270.0,262.0,96.0,109.0,72.0,50.0,22.0,13.0,12.0
2024-07-23,6.0,19.0,64.0,177.0,249.0,290.0,283.0,242.0,235.0,290.0,321.0,380.0,362.0,402.0,387.0,382.0,128.0,111.0,81.0,64.0,24.0,16.0,12.0
2024-07-24,6.0,17.0,82.0,100.0,278.0,211.0,256.0,251.0,302.0,288.0,314.0,367.0,469.0,476.0,375.0,294.0,225.0,120.0,87.0,66.0,34.0,21.0,10.0
2024-07-25,6.0,15.0,72.0,203.0,243.0,267.0,193.0,264.0,308.0,343.0,327.0,410.0,565.0,647.0,418.0,324.0,175.0,99.0,78.0,75.0,48.0,26.0,10.0
2024-07-26,21.0,29.0,57.0,135.0,195.0,183.0,228.0,233.0,274.0,393.0,367.0,375.0,501.0,408.0,290.0,292.0,194.0,122.0,89.0,117.0,66.0,35.0,29.0
2024-07-27,18.0,17.0,29.0,20.0,49.0,100.0,118.0,217.0,271.0,310.0,335.0,299.0,464.0,349.0,301.0,263.0,218.0,164.0,103.0,96.0,54.0,46.0,27.0
2024-07-28,11.0,28.0,17.0,17.0,21.0,35.0,66.0,81.0,171.0,255.0,194.0,163.0,150.0,179.0,167.0,101.0,108.0,111.0,57.0,41.0,24.0,16.0,10.0
2024-07-29,8.0,24.0,123.0,174.0,227.0,194.0,282.0,302.0,238.0,304.0,326.0,344.0,299.0,365.0,285.0,311.0,155.0,122.0,78.0,53.0,19.0,12.0,9.0
2024-07-30,5.0,8.0,85.0,121.0,182.0,140.0,243.0,181.0,232.0,226.0,243.0,293.0,346.0,277.0,286.0,259.0,145.0,109.0,58.0,60.0,44.0,18.0,10.0
