,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-05-28,3.0,7.0,34.0,94.0,94.0,123.0,95.0,66.0,58.0,97.0,75.0,130.0,167.0,160.0,184.0,118.0,81.0,18.0,19.0,6.0,3.0,1.0,0.0
2024-05-29,0.0,4.0,25.0,41.0,97.0,122.0,151.0,99.0,138.0,107.0,142.0,211.0,216.0,320.0,267.0,174.0,109.0,43.0,49.0,43.0,15.0,14.0,5.0
2024-05-30,4.0,2.0,3.0,5.0,12.0,17.0,64.0,77.0,71.0,68.0,96.0,71.0,50.0,63.0,55.0,122.0,178.0,108.0,95.0,56.0,13.0,2.0,2.0
2024-05-31,2.0,2.0,7.0,25.0,43.0,59.0,133.0,130.0,112.0,206.0,128.0,145.0,134.0,163.0,124.0,89.0,78.0,46.0,26.0,20.0,24.0,13.0,14.0
2024-06-01,6.0,2.0,10.0,9.0,17.0,32.0,61.0,69.0,133.0,154.0,163.0,205.0,108.0,101.0,130.0,103.0,90.0,86.0,51.0,17.0,18.0,14.0,4.0
2024-06-02,2.0,2.0,4.0,6.0,6.0,11.0,47.0,76.0,90.0,104.0,110.0,168.0,177.0,98.0,154.0,117.0,55.0,50.0,15.0,12.0,6.0,3.0,3.0
2024-06-03,2.0,8.0,28.0,57.0,79.0,106.0,84.0,83.0,59.0,78.0,96.0,119.0,139.0,167.0,114.0,56.0,68.0,14.0,13.0,13.0,15.0,5.0,5.0
2024-06-04,6.0,6.0,40.0,80.0,147.0,127.0,106.0,80.0,102.0,70.0,101.0,91.0,157.0,164.0,140.0,92.0,33.0,15.0,16.0,5.0,4.0,5.0,5.0
2024-06-05,2.0,12.0,27.0,63.0,134.0,127.0,112.0,67.0,82.0,113.0,113.0,110.0,187.0,171.0,95.0,82.0,52.0,21.0,26.0,10.0,14.0,5.0,2.0
2024-06-06,1.0,6.0,20.0,31.0,95.0,148.0,127.0,63.0,50.0,121.0,94.0,135.0,191.0,229.0,186.0,99.0,45.0,43.0,25.0,13.0,10.0,5.0,3.0
2024-06-07,4.0,7.0,38.0,52.0,70.0,95.0,90.0,73.0,94.0,148.0,135.0,157.0,162.0,164.0,128.0,89.0,45.0,53.0,39.0,34.0,22.0,7.0,9.0
2024-06-08,8.0,4.0,5.0,6.0,35.0,57.0,64.0,118.0,142.0,167.0,172.0,276.0,156.0,172.0,158.0,152.0,90.0,81.0,42.0,38.0,26.0,16.0,8.0
2024-06-09,6.0,0.0,3.0,11.0,11.0,21.0,34.0,61.0,78.0,93.0,94.0,179.0,143.0,74.0,138.0,125.0,82.0,45.0,27.0,14.0,10.0,6.0,3.0
2024-06-10,5.0,4.0,38.0,55.0,105.0,156.0,79.0,75.0,115.0,88.0,98.0,101.0,210.0,140.0,93.0,74.0,40.0,24.0,12.0,16.0,7.0,10.0,3.0
2024-06-11,5.0,4.0,32.0,67.0,110.0,135.0,96.0,81.0,53.0,78.0,60.0,97.0,115.0,154.0,93.0,80.0,50.0,14.0,17.0,19.0,5.0,8.0,3.0
2024-06-12,3.0,3.0,28.0,66.0,97.0,134.0,120.0,102.0,66.0,95.0,85.0,130.0,221.0,225.0,129.0,90.0,98.0,33.0,37.0,37.0,7.0,5.0,2.0
2024-06-13,4.0,5.0,26.0,62.0,113.0,177.0,82.0,68.0,81.0,69.0,84.0,146.0,185.0,236.0,165.0,78.0,42.0,31.0,15.0,18.0,8.0,1.0,4.0
2024-06-14,7.0,6.0,25.0,48.0,66.0,97.0,98.0,102.0,112.0,107.0,248.0,181.0,160.0,235.0,183.0,115.0,63.0,24.0,22.0,5.0,22.0,13.0,6.0
2024-06-15,6.0,2.0,8.0,8.0,9.0,46.0,67.0,66.0,119.0,108.0,127.0,136.0,97.0,87.0,81.0,75.0,64.0,52.0,24.0,15.0,9.0,9.0,6.0
2024-06-16,0.0,5.0,2.0,7.0,8.0,9.0,40.0,57.0,55.0,99.0,96.0,137.0,156.0,124.0,98.0,91.0,152.0,72.0,48.0,23.0,11.0,3.0,2.0
2024-06-17,2.0,4.0,34.0,73.0,122.0,122.0,108.0,77.0,72.0,87.0,69.0,117.0,106.0,176.0,123.0,16.0,28.0,18.0,13.0,7.0,5.0,6.0,1.0
2024-06-18,0.0,8.0,29.0,60.0,129.0,155.0,83.0,85.0,83.0,97.0,102.0,108.0,118.0,118.0,129.0,75.0,40.0,43.0,24.0,24.0,16.0,3.0,1.0
