,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-06-01,7.0,9.0,16.0,13.0,23.0,28.0,41.0,65.0,54.0,103.0,60.0,66.0,63.0,61.0,90.0,62.0,55.0,33.0,16.0,17.0,19.0,9.0,5.0
2024-06-02,7.0,2.0,3.0,2.0,13.0,8.0,18.0,39.0,48.0,105.0,64.0,33.0,84.0,50.0,48.0,49.0,44.0,31.0,16.0,12.0,2.0,1.0,1.0
2024-06-03,0.0,1.0,13.0,19.0,67.0,78.0,72.0,63.0,52.0,71.0,75.0,65.0,112.0,83.0,72.0,59.0,17.0,15.0,19.0,7.0,3.0,6.0,3.0
2024-06-04,1.0,2.0,7.0,38.0,47.0,98.0,57.0,82.0,46.0,55.0,36.0,64.0,81.0,75.0,106.0,50.0,26.0,14.0,14.0,15.0,10.0,7.0,2.0
2024-06-05,3.0,1.0,8.0,25.0,55.0,63.0,88.0,42.0,73.0,69.0,62.0,68.0,67.0,91.0,100.0,90.0,58.0,30.0,17.0,33.0,9.0,9.0,1.0
2024-06-06,5.0,4.0,13.0,20.0,56.0,55.0,56.0,55.0,48.0,67.0,45.0,57.0,106.0,126.0,92.0,66.0,26.0,32.0,21.0,21.0,13.0,4.0,1.0
2024-06-07,2.0,0.0,16.0,16.0,45.0,68.0,52.0,47.0,88.0,65.0,79.0,75.0,87.0,94.0,97.0,59.0,62.0,34.0,16.0,16.0,12.0,5.0,1.0
2024-06-08,4.0,3.0,0.0,6.0,17.0,43.0,27.0,33.0,67.0,82.0,52.0,69.0,81.0,63.0,48.0,64.0,36.0,22.0,20.0,10.0,12.0,6.0,12.0
2024-06-09,1.0,2.0,3.0,2.0,11.0,18.0,28.0,46.0,57.0,68.0,37.0,57.0,52.0,36.0,47.0,41.0,47.0,30.0,10.0,7.0,7.0,3.0,2.0
2024-06-10,2.0,4.0,13.0,27.0,92.0,79.0,78.0,65.0,37.0,62.0,78.0,79.0,52.0,87.0,67.0,46.0,25.0,17.0,10.0,11.0,5.0,4.0,1.0
