City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Gelsenkirchen,2024-06-16,21:00,260000,Serbia 0 - 1 England,Group C,[44. 20. 21. 38. 30. 44. 10.  8. 10.  5.  7.  5.  2.],Serbia 0 - 1 England,"[0.18032786885245902, 0.08196721311475409, 0.0860655737704918, 0.1557377049180328, 0.12295081967213115, 0.18032786885245902, 0.040983606557377046, 0.03278688524590164, 0.040983606557377046, 0.020491803278688523, 0.028688524590163935, 0.020491803278688523, 0.00819672131147541]"
München,2024-06-20,15:00,1472000,Slovenia 1 - 1 Serbia,Group C,[30. 17. 29. 23. 29. 28. 39. 33. 28. 21. 11.  4.  4.],Slovenia 1 - 1 Serbia,"[0.10135135135135136, 0.057432432432432436, 0.09797297297297297, 0.0777027027027027, 0.09797297297297297, 0.0945945945945946, 0.13175675675675674, 0.11148648648648649, 0.0945945945945946, 0.07094594594594594, 0.037162162162162164, 0.013513513513513514, 0.013513513513513514]"
Frankfurt am Main,2024-06-20,18:00,753056,Denmark 1 - 1 England,Group C,[38. 15. 29. 49. 54. 56. 33. 14. 23. 10. 13.  7.  1.],Denmark 1 - 1 England,"[0.1111111111111111, 0.043859649122807015, 0.0847953216374269, 0.14327485380116958, 0.15789473684210525, 0.16374269005847952, 0.09649122807017543, 0.04093567251461988, 0.06725146198830409, 0.029239766081871343, 0.038011695906432746, 0.02046783625730994, 0.0029239766081871343]"
Köln,2024-06-25,21:00,1085664,England 0 - 0 Slovenia,Group C,[69. 66. 83. 50. 42. 54. 69. 18. 13. 14.  3.  2.  1.],England 0 - 0 Slovenia,"[0.14256198347107438, 0.13636363636363635, 0.17148760330578514, 0.10330578512396695, 0.08677685950413223, 0.1115702479338843, 0.14256198347107438, 0.0371900826446281, 0.026859504132231406, 0.028925619834710745, 0.006198347107438017, 0.004132231404958678, 0.002066115702479339]"
München,2024-06-25,21:00,1472000,Denmark 0 - 0 Serbia,Group C,[20. 34. 21. 23. 14. 13.  6.  4.  9.  1.  0.  1.  0.],Denmark 0 - 0 Serbia,"[0.136986301369863, 0.2328767123287671, 0.14383561643835616, 0.15753424657534246, 0.0958904109589041, 0.08904109589041095, 0.0410958904109589, 0.0273972602739726, 0.06164383561643835, 0.00684931506849315, 0.0, 0.00684931506849315, 0.0]"
Hamburg,2024-06-16,15:00,1841179,Poland 1 - 2 Netherlands,Group D,[ 42.  38.  48.  77. 131. 120.  84.  91.  84.  79.  55.  37.  22.],Poland 1 - 2 Netherlands,"[0.046255506607929514, 0.04185022026431718, 0.05286343612334802, 0.08480176211453745, 0.14427312775330398, 0.13215859030837004, 0.09251101321585903, 0.10022026431718062, 0.09251101321585903, 0.08700440528634361, 0.0605726872246696, 0.040748898678414094, 0.024229074889867842]"
Düsseldorf,2024-06-17,21:00,619294,Austria 0 - 1 France,Group D,[45. 55. 80. 53. 29. 24. 31.  2. 11.  1.  1.  1.  0.],Austria 0 - 1 France,"[0.13513513513513514, 0.16516516516516516, 0.24024024024024024, 0.15915915915915915, 0.08708708708708708, 0.07207207207207207, 0.09309309309309309, 0.006006006006006006, 0.03303303303303303, 0.003003003003003003, 0.003003003003003003, 0.003003003003003003, 0.0]"
Berlin,2024-06-21,18:00,3769000,Poland 1 - 3 Austria,Group D,[198. 218. 392. 309. 249. 227. 192. 127.  84.  37.  56.  52.  33.],Poland 1 - 3 Austria,"[0.09107635694572216, 0.10027598896044158, 0.18031278748850046, 0.1421343146274149, 0.11453541858325667, 0.10441582336706531, 0.08831646734130635, 0.05841766329346826, 0.03863845446182153, 0.01701931922723091, 0.025758969641214352, 0.02391904323827047, 0.01517939282428703]"
Leipzig,2024-06-21,21:00,597493,Netherlands 0 - 0 France,Group D,[ 83.  96. 106.  86.  72.  56.  33.  13.  20.   4.  15.   4.   0.],Netherlands 0 - 0 France,"[0.141156462585034, 0.16326530612244897, 0.18027210884353742, 0.14625850340136054, 0.12244897959183673, 0.09523809523809523, 0.05612244897959184, 0.022108843537414966, 0.034013605442176874, 0.006802721088435374, 0.025510204081632654, 0.006802721088435374, 0.0]"
Berlin,2024-06-25,18:00,3769000,Netherlands 2 - 3 Austria,Group D,[180. 205. 254. 347. 394. 241. 137.  82.  90.  52.  47.  35.  14.],Netherlands 2 - 3 Austria,"[0.08662175168431184, 0.09865255052935515, 0.12223291626564003, 0.16698748796920115, 0.18960538979788258, 0.11597690086621752, 0.06592877767083734, 0.03946102021174206, 0.04331087584215592, 0.025024061597690085, 0.022617901828681425, 0.016843118383060636, 0.006737247353224254]"
