City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
München,2024-06-14,21:00,1471508,Germany 5 - 1 Scotland,Group A,[12. 15. 10. 12. 11. 30.  5.  7.  5.  4.  1.  0.  0.],Germany 5 - 1 Scotland,"[0.10714285714285714, 0.13392857142857142, 0.08928571428571429, 0.10714285714285714, 0.09821428571428571, 0.26785714285714285, 0.044642857142857144, 0.0625, 0.044642857142857144, 0.03571428571428571, 0.008928571428571428, 0.0, 0.0]"
Köln,2024-06-15,15:00,1085664,Hungary 1 - 3 Switzerland,Group A,[19. 17. 28. 24. 33. 31. 25. 18. 18. 16. 25.  9. 11.],Hungary 1 - 3 Switzerland,"[0.06934306569343066, 0.06204379562043796, 0.10218978102189781, 0.08759124087591241, 0.12043795620437957, 0.11313868613138686, 0.09124087591240876, 0.06569343065693431, 0.06569343065693431, 0.058394160583941604, 0.09124087591240876, 0.032846715328467155, 0.040145985401459854]"
Stuttgart,2024-06-19,18:00,634830,Germany 2 - 0 Hungary,Group A,[14. 12. 22. 30. 92. 96. 32. 33. 33.  8.  3.  0.  1.],Germany 2 - 0 Hungary,"[0.03723404255319149, 0.031914893617021274, 0.05851063829787234, 0.0797872340425532, 0.24468085106382978, 0.2553191489361702, 0.0851063829787234, 0.08776595744680851, 0.08776595744680851, 0.02127659574468085, 0.007978723404255319, 0.0, 0.0026595744680851063]"
Köln,2024-06-19,21:00,1085664,Scotland 1 - 1 Switzerland,Group A,[41. 52. 33. 10.  6.  7.  3.  3.  5.  3.  2.  2.  1.],Scotland 1 - 1 Switzerland,"[0.24404761904761904, 0.30952380952380953, 0.19642857142857142, 0.05952380952380952, 0.03571428571428571, 0.041666666666666664, 0.017857142857142856, 0.017857142857142856, 0.02976190476190476, 0.017857142857142856, 0.011904761904761904, 0.011904761904761904, 0.005952380952380952]"
Frankfurt am Main,2024-06-23,21:00,753056,Switzerland 1 - 1 Germany,Group A,[ 8. 21. 19. 31. 68. 38. 16. 32.  6.  1.  0.  1.  3.],Switzerland 1 - 1 Germany,"[0.03278688524590164, 0.0860655737704918, 0.0778688524590164, 0.12704918032786885, 0.2786885245901639, 0.1557377049180328, 0.06557377049180328, 0.13114754098360656, 0.02459016393442623, 0.004098360655737705, 0.0, 0.004098360655737705, 0.012295081967213115]"
Stuttgart,2024-06-23,21:00,634830,Scotland 0 - 1 Hungary,Group A,[11. 17. 14. 17. 13.  6.  8.  9.  3.  2.  2.  1.  1.],Scotland 0 - 1 Hungary,"[0.10576923076923077, 0.16346153846153846, 0.1346153846153846, 0.16346153846153846, 0.125, 0.057692307692307696, 0.07692307692307693, 0.08653846153846154, 0.028846153846153848, 0.019230769230769232, 0.019230769230769232, 0.009615384615384616, 0.009615384615384616]"
Berlin,2024-06-15,18:00,3769000,Spain 3 - 0 Croatia,Group B,[ 86.  89. 109.  92.  90.  87.  80.  77.  67.  61.  54.  13.  12.],Spain 3 - 0 Croatia,"[0.09378407851690294, 0.0970556161395856, 0.11886586695747, 0.10032715376226826, 0.09814612868047982, 0.09487459105779716, 0.08724100327153762, 0.08396946564885496, 0.07306434023991276, 0.06652126499454744, 0.05888767720828789, 0.014176663031624863, 0.013086150490730643]"
Dortmund,2024-06-15,21:00,588462,Italy 2 - 1 Albania,Group B,[31. 31. 40. 28. 43. 24.  8.  9. 17.  3.  8.  3.  0.],Italy 2 - 1 Albania,"[0.12653061224489795, 0.12653061224489795, 0.16326530612244897, 0.11428571428571428, 0.17551020408163265, 0.09795918367346938, 0.0326530612244898, 0.036734693877551024, 0.06938775510204082, 0.012244897959183673, 0.0326530612244898, 0.012244897959183673, 0.0]"
Hamburg,2024-06-19,15:00,1841179,Croatia 2 - 2 Albania,Group B,[47. 32. 49. 51. 54. 55. 87. 98. 62. 25. 16. 15. 12.],Croatia 2 - 2 Albania,"[0.0779436152570481, 0.05306799336650083, 0.0812603648424544, 0.0845771144278607, 0.08955223880597014, 0.0912106135986733, 0.14427860696517414, 0.1625207296849088, 0.10281923714759536, 0.04145936981757877, 0.026533996683250415, 0.024875621890547265, 0.01990049751243781]"
Gelsenkirchen,2024-06-20,21:00,260000,Spain 1 - 0 Italy,Group B,[33. 26. 23. 17. 27. 46. 10. 10.  9.  5.  2.  1.  3.],Spain 1 - 0 Italy,"[0.15566037735849056, 0.12264150943396226, 0.10849056603773585, 0.08018867924528301, 0.12735849056603774, 0.2169811320754717, 0.04716981132075472, 0.04716981132075472, 0.04245283018867924, 0.02358490566037736, 0.009433962264150943, 0.0047169811320754715, 0.014150943396226415]"
