day,city,event,ncontacts_hoststad,ncontacts_hostcity,ncontacts_germany
2024-04-30,München,UEFA Champions League,4402.654498597809,739.7641799426841,247.8304241435033
2024-05-01,Dortmund,UEFA Champions League,3240.1934294129082,500.0266522163928,139.6910543860349
2024-05-03,Düsseldorf,Bundesliga,1405.7940890648974,534.3978535198729,215.74592238858185
2024-05-03,Hamburg,Bundesliga,5175.077026986644,561.9342218397398,215.74592238858185
2024-05-04,Köln,Bundesliga,2273.0630024946886,692.7551064816081,206.83580866044423
2024-05-04,Dortmund,Bundesliga,4177.0139487643555,963.8002668715619,206.83580866044423
2024-05-04,Stuttgart,Bundesliga,1898.1871161599065,1014.7662535489642,206.83580866044423
2024-05-05,Berlin,S25 Berlin,,280.8719430396366,138.19314003068615
2024-05-05,Frankfurt am Main,Bundesliga,1529.6949953550047,407.47931732079917,138.19314003068615
2024-05-05,Berlin,Bundesliga,870.6731592369076,280.8719430396366,138.19314003068615
2024-05-07,Dortmund,B2Run,,648.5756841745786,200.7892330294229
2024-05-09,Köln,DFB Pokal,3180.354068429259,384.82863942625113,155.3559382498363
2024-05-11,Gelsenkirchen,Bundesliga,3736.617469430894,722.7823127118618,212.6801344904631
2024-05-11,Leipzig,Bundesliga,3267.7309138420183,617.8797138314807,212.6801344904631
2024-05-11,Berlin,Bundesliga,4187.733248461557,390.3399823781618,212.6801344904631
2024-05-11,Köln,Bundesliga,2129.6260727632653,611.0862705340056,212.6801344904631
2024-05-12,Hamburg,Bundesliga,2616.8299644266262,549.8315404241067,191.1981911941989
2024-05-12,München,Bundesliga,6880.152833273321,553.2069210807337,191.1981911941989
2024-05-17,Gelsenkirchen,AC/DC,6052.944985817996,1015.0076975164183,272.6582220441124
2024-05-18,Stuttgart,Bundesliga,3250.319541788417,722.0928157875861,231.5439202419608
2024-05-18,Frankfurt am Main,Bundesliga,1832.8777872271683,562.8411737212666,231.5439202419608
2024-05-18,Dortmund,Bundesliga,6607.586698985155,765.7348909273143,231.5439202419608
2024-05-18,Berlin,Bundesliga,2784.387373826681,430.97896314763295,231.5439202419608
2024-05-19,Hamburg,Bundesliga,3647.481181871374,310.29930407303607,150.99417966176935
2024-05-19,Düsseldorf,Bundesliga,1238.392251861812,338.9662675432265,150.99417966176935
2024-05-21,Gelsenkirchen,AC/DC,6946.273995785479,767.1636827906602,217.9883557250065
2024-05-24,Köln,H Carpendale,,800.481703315216,236.03533890766496
2024-05-24,München,Metallica,5505.432910504298,822.8837507227609,236.03533890766496
2024-05-25,Berlin,DFB Pokal,3117.6157568204135,470.79487595215284,203.8810646724804
2024-05-25,Hamburg,RLiga (f),,713.0496467377135,203.8810646724804
2024-05-25,Frankfurt am Main,HLiga,,463.32112335797785,203.8810646724804
2024-05-26,München,Metallica,4999.03350975322,599.3844604029986,146.51682523766354
2024-05-27,Düsseldorf,Bundesliga relegation,2216.7103382379023,537.6706312754627,199.88192265836986
2024-05-27,Frankfurt am Main,Apache 207,,593.2500779989382,199.88192265836986
2024-06-01,Dortmund,UEFA Champions League,,820.11444726915,219.0076917838959
2024-06-01,Düsseldorf,Japan Day,,1678.4674489381835,219.0076917838959
2024-06-01,Hamburg,HipHop,,454.18673868111784,219.0076917838959
2024-06-01,Berlin,Schlagernacht,,571.0034006849756,219.0076917838959
2024-06-09,München,AC/DC,6593.671195228578,479.32285816510984,156.16632746042112
2024-06-09,Berlin,RLiga (f),1378.1959070280031,324.1858946951997,156.16632746042112
2024-06-12,München,AC/DC,6784.8068281574,827.5015046549873,210.47932408290353
2024-06-14,München,GER-SCO,4926.589094850798,553.2069210807337,246.91598532364807
2024-06-15,Dortmund,ITA-ALB,3668.3526961734146,523.0163833527787,205.19672137948297
2024-06-15,Berlin,ESP-CRO,2257.252491533086,421.10214756821716,205.19672137948297
2024-06-15,Köln,HUN-SUI,2232.6570969719146,375.2953122728345,205.19672137948297
2024-06-16,Hamburg,POL-NED,2629.5657406447212,269.6208470927139,155.18706435461053
2024-06-16,Gelsenkirchen,SRB-ENG,2363.589038971287,291.64900337496175,155.18706435461053
2024-06-16,Stuttgart,SLO-DEN,2212.4326636359538,287.10459856507276,155.18706435461053
2024-06-17,Frankfurt am Main,BEL-SVK,4184.407291958574,445.0757807913748,203.2668901670921
2024-06-17,München,ROM-UKR,,507.02938175846884,203.2668901670921
2024-06-17,Düsseldorf,AUT-FRA,2726.996170237938,514.2936473069643,203.2668901670921
2024-06-18,Dortmund,TUR-GEO,9504.58604502829,532.3006978501653,199.88505856763123
2024-06-18,Leipzig,POR-CZE,3888.3841823901457,556.3057061814794,199.88505856763123
2024-06-19,Köln,SCO-SUI,,474.75969224014796,204.81691133703868
2024-06-19,Hamburg,ALB-CRO,,501.588907559014,204.81691133703868
2024-06-19,Stuttgart,GER-HUN,4060.206466623575,693.6298598953591,204.81691133703868
2024-06-20,München,SLO-SRB,,639.0971442201464,221.06111572319452
2024-06-20,Frankfurt am Main,DEN-ENG,1743.5030383160727,567.8171762394311,221.06111572319452
2024-06-20,Gelsenkirchen,ESP-ITA,2928.831629735464,518.7432866353074,221.06111572319452
2024-06-21,Düsseldorf,SVK-UKR,3332.995319179702,569.4633294726204,241.55903090697925
