day,contacts_germ,contacts_stad,contact_to_baseline_germ,contact_to_baseline_all
2024-04-29,226584,4,1.13800117524748,1.1380212649479928
2024-04-30,268822,312,1.322139813836365,1.3236743148143983
2024-05-01,145458,348,0.7159669821768727,0.7176798925001108
2024-05-02,221742,6,1.0555609959115724,1.055589557780661
2024-05-03,236034,854,0.9770266242797536,0.9805616265977879
2024-05-04,216222,2676,1.0419053349019296,1.0548001313435384
2024-05-05,145068,802,0.9431391160752597,0.9483532058200164
2024-05-06,215656,12,1.0831161134465388,1.0831763825480771
2024-05-07,216414,10,1.0643829957056457,1.0644321784293005
2024-05-08,278494,10,1.3707909412639112,1.3708401628249238
2024-05-09,153066,922,0.7286418423221616,0.7330308495387938
2024-05-10,227610,604,0.9421567653486986,0.9446569309225776
2024-05-11,210926,4446,1.0163855882820638,1.0378094541189073
2024-05-12,194154,1302,1.2622648133459893,1.270729582482739
2024-05-13,211688,4,1.0631871305378515,1.0632072202383642
2024-05-14,214112,42,1.0530611327202823,1.0532677001596331
2024-05-15,222732,16,1.0963216727455294,1.0964004272431496
2024-05-16,246506,16,1.1734453502637212,1.173521515247958
2024-05-17,286734,1196,1.1868915159944367,1.1918421749784753
2024-05-18,228394,4840,1.1005583477148084,1.1238807747616646
2024-05-19,145034,2636,0.9429180698766042,0.9600556516311909
2024-05-20,154266,24,0.7747894348265003,0.7749099730295771
2024-05-21,220722,1446,1.0855709130561864,1.092682734896688
2024-05-22,204290,4,1.0055472699261185,1.0055669585505236
2024-05-23,217146,126,1.033682604189618,1.0342824034404812
2024-05-24,241042,574,0.9977564739386714,1.0001324591032519
2024-05-25,200040,1484,0.9639294021597339,0.9710803281385634
2024-05-26,142600,1600,0.9270937625963827,0.93749593665076
2024-05-27,199434,272,1.0016423330169206,1.0030084326517903
2024-05-28,201264,8,0.9898711693684376,0.9899105155473615
2024-05-29,227098,18,1.1178118062836244,1.1179004050934471
2024-05-30,190730,0,0.9079342152150437,0.9079342152150437
2024-05-31,256076,186,1.059987416385191,1.0607573349228425
2024-06-01,213352,1384,1.0280757139051366,1.0347447715565519
2024-06-02,163762,392,1.0646755171830913,1.0672240498264136
2024-06-03,201642,172,1.0127318476999805,1.0135957048220303
2024-06-04,196574,28,0.9668044719742788,0.9669421836005125
2024-06-05,201760,2,0.9930942149899342,0.9931040593021367
2024-06-06,220396,896,1.0491536166126711,1.053418855729919
2024-06-07,241862,180,1.0011507384595006,1.0018958209152924
2024-06-08,201162,48,0.9693359647933233,0.9695672615904821
2024-06-09,147670,342,0.9600556516311909,0.962279116335314
2024-06-10,199788,6,1.0034202715123024,1.0034504060630716
2024-06-11,201272,14,0.9899105155473615,0.9899793713604784
2024-06-12,203326,800,1.000802311444505,1.0047400363255121
2024-06-13,217540,166,1.0355581669264438,1.0363483786378982
2024-06-14,240220,126,0.994353930723889,0.9948754884429433
2024-06-15,194860,526,0.9389686227996688,0.9415032502018684
2024-06-16,147720,204,0.9603807195703902,0.9617069967623233
2024-06-17,198236,246,0.99562546771334,0.9968609842948766
2024-06-18,193956,296,0.95392843492142,0.9553842435416058
2024-06-19,196202,286,0.9657368713791389,0.9671446080240989
2024-06-20,217512,118,1.0354248782040296,1.0359865949627745
2024-06-21,241268,1572,0.9986919663553878,1.005199019802636
2024-06-22,199892,4188,0.9632162370351606,0.983396882587275
2024-06-23,148386,254,0.9647106245205248,0.9663619696516572
2024-06-24,195938,116,0.9840839347687425,0.9846665360836133
2024-06-25,191620,296,0.9424393506756301,0.9438951592958158
2024-06-26,193694,372,0.9533921038771823,0.9552231459468505
2024-06-27,210566,4,1.0023597544223295,1.0023787956683885
2024-06-28,249832,10,1.0341413338631698,1.034182727332936
2024-06-29,207530,914,1.0000213398830713,1.0044256163956387
2024-06-30,140418,408,0.9129077977297255,0.9155603521135918
2024-07-01,210466,190,1.0570497270311943,1.0580039878055518
2024-07-02,201380,344,0.9904416889628347,0.992133574656564
2024-07-03,199188,4,0.980434429497497,0.9804541181219021
2024-07-04,222096,8,1.0572461461878067,1.0572842286799249
2024-07-05,236856,1300,0.980429167494536,0.9858103185641434
2024-07-06,199232,390,0.9600359060742256,0.9619151925511418
2024-07-07,160386,44,1.042726929928355,1.0430129897148503
2024-07-08,199602,4,1.0024861004384578,1.0025061901389705
2024-07-09,190818,32,0.9384948962385052,0.9386522809542011
2024-07-10,192478,54,0.9474067620580519,0.9476725584875199
2024-07-11,215366,630,1.0252092496932999,1.0282082459476147
2024-07-12,240500,1990,0.9955129478773429,1.0037502483608185
2024-07-13,221276,2370,1.0662589601694525,1.0776792395291734
2024-07-14,158584,252,1.0310114813996125,1.032649823813177
2024-07-15,196398,2,0.9863942503277132,0.9864042951779697
2024-07-16,192306,546,0.9458132855183577,0.9484986622299165
2024-07-17,202310,622,0.9958014008456264,0.9988629819406093
2024-07-18,206170,824,0.9814334250033322,0.9853559216915155
2024-07-19,229408,1834,0.949599311212663,0.957190873567786
2024-07-20,197952,1576,0.9538679914833216,0.9614622363233722
2024-07-21,147320,664,0.9577801760567959,0.9620970782893625
2024-07-22,190084,4,0.9546826580682748,0.9547027477687876
2024-07-23,177678,332,0.8738687973559367,0.8755016637812801
2024-07-24,178642,124,0.879303810241038,0.8799141575975941
2024-07-25,194152,54,0.9242240012186398,0.9244810580404382
2024-07-26,215262,2212,0.8910441088813829,0.9002003443936685
2024-07-27,196214,3148,0.9454931199528596,0.9606623348998644
2024-07-28,146878,130,0.9549065754742742,0.9557517521161922
2024-07-29,187716,1988,0.9427895553647034,0.9527741365195599
2024-07-30,179590,1484,0.883272534118758,0.8905712503091485
2024-07-31,198610,2338,0.9775894232709696,0.9890974242357122
2024-08-01,207996,2,0.9901257538293307,0.9901352744523602
2024-08-02,239472,400,0.9912576991853765,0.9929134379760249
2024-08-03,218306,1962,1.0519474708452452,1.0614017274291154
2024-08-04,165416,172,1.075428764611804,1.0765469983226494
