day,city,event,ncontacts_hoststad,ncontacts_hostcity,ncontacts_germany
2024-04-30,München,UEFA Champions League,3656.6719708005476,2891.4744211765164,122.51851428445222
2024-05-01,Dortmund,UEFA Champions League,6131.202588790366,1821.3778633094998,74.95556651975156
2024-05-03,Düsseldorf,Bundesliga,,1830.6098842054705,109.14622720633706
2024-05-03,Hamburg,Bundesliga,5256.417385765641,2065.704532104689,109.14622720633706
2024-05-04,Köln,Bundesliga,4245.891684796526,2757.428441233839,104.2300492625265
2024-05-04,Dortmund,Bundesliga,8235.910349266154,3124.5717909852983,104.2300492625265
2024-05-04,Stuttgart,Bundesliga,4879.779374160228,4124.63616073446,104.2300492625265
2024-05-05,Berlin,S25 Berlin,,1100.8143085313368,73.5795498384909
2024-05-05,Frankfurt am Main,Bundesliga,2400.256065210047,1463.0618186805748,73.5795498384909
2024-05-05,Berlin,Bundesliga,2897.5213906465415,1100.8143085313368,73.5795498384909
2024-05-07,Dortmund,B2Run,,2641.1912540135627,99.52341090964603
2024-05-09,Köln,DFB Pokal,5112.599346696759,1427.1401333245385,83.70581931546195
2024-05-11,Gelsenkirchen,Bundesliga,3777.760990796445,2447.967009240568,107.30502599241008
2024-05-11,Leipzig,Bundesliga,6224.224514655666,2468.937779807639,107.30502599241008
2024-05-11,Berlin,Bundesliga,6416.625289772525,1505.0132341804442,107.30502599241008
2024-05-11,Köln,Bundesliga,3567.357697968318,2227.5919845504773,107.30502599241008
2024-05-12,Hamburg,Bundesliga,5052.159801214593,2395.846013808198,102.1744446633235
2024-05-12,München,Bundesliga,12617.332089269645,2271.872759495834,102.1744446633235
2024-05-17,Gelsenkirchen,AC/DC,9777.001774306844,4277.961890741254,141.67417601647597
2024-05-18,Stuttgart,Bundesliga,2928.751931549364,2562.9814633997776,120.49116005060344
2024-05-18,Frankfurt am Main,Bundesliga,4421.524330650086,2135.4247868242214,120.49116005060344
2024-05-18,Dortmund,Bundesliga,15388.978540122831,2509.7117479572507,120.49116005060344
2024-05-18,Berlin,Bundesliga,5072.044605662004,1675.11699046564,120.49116005060344
2024-05-19,Hamburg,Bundesliga,3626.9080710593917,1181.3496393487019,83.27094657850546
2024-05-19,Düsseldorf,Bundesliga,2980.3774364094093,1235.2566696519216,83.27094657850546
